return_preset,transfer_policy,tax_scenario,seed,year,wealth_gini,top_10_share,top_1_share,labour_tax_revenue,capital_tax_revenue,total_tax_revenue,total_transfers,universal_transfer_spending,means_tested_transfer_spending,unemployment_transfer_spending,transfer_spending_share,means_tested_recipient_count,means_tested_recipient_share,unemployment_rate,pre_tax_labour_income_gini,disposable_income_gini,capital_income_gini,capital_income_share,avg_tax_rate_income_decile_1,avg_tax_rate_income_decile_2,avg_tax_rate_income_decile_3,avg_tax_rate_income_decile_4,avg_tax_rate_income_decile_5,avg_tax_rate_income_decile_6,avg_tax_rate_income_decile_7,avg_tax_rate_income_decile_8,avg_tax_rate_income_decile_9,avg_tax_rate_income_decile_10,avg_return_wealth_decile_1,avg_return_wealth_decile_2,avg_return_wealth_decile_3,avg_return_wealth_decile_4,avg_return_wealth_decile_5,avg_return_wealth_decile_6,avg_return_wealth_decile_7,avg_return_wealth_decile_8,avg_return_wealth_decile_9,avg_return_wealth_decile_10,avg_return_class_low,avg_return_class_medium,avg_return_class_high
low_return_heterogeneity,no_transfers,flat,0,1.0,0.5719319076290568,0.4630297152927285,0.13116854820461468,1287120363.7599611,118263945.90815753,1405384309.6681187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0295,0.2682878143245333,0.2682878143245333,0.5854472515690654,0.08415060926365794,0.30000000000000004,0.3,0.29999999999999993,0.3,0.3,0.3,0.29999999999999993,0.3,0.30000000000000004,0.29999999999999993,0.03960846040651706,0.03952968373588551,0.039698540722546506,0.039735810811982956,0.039230417884446526,0.0393824132988043,0.03978927039894738,0.039232734219659886,0.039572915767410066,0.039572302245684865,0.03506172219100746,0.039969779650086905,0.045059177114971524
low_return_heterogeneity,no_transfers,flat,0,2.0,0.5627282140529681,0.45646638732960687,0.12893885477294506,1301930641.5634205,124243507.0616276,1426174148.6250482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286,0.281697106918376,0.281697106918376,0.5771870980867486,0.08711664503343354,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.3,0.29999999999999993,0.3,0.30000000000000004,0.3,0.3,0.3,0.0395088533940133,0.039473117920498284,0.03940521506606376,0.039407026692574905,0.03938234930328855,0.03938538938899396,0.039531241239082644,0.03940561329387903,0.039891541363307824,0.039468831795681336,0.03496357899713725,0.03995195438505175,0.04500390027235468
low_return_heterogeneity,no_transfers,flat,0,3.0,0.5544110833323888,0.45023842809948833,0.1268097803160406,1312078138.0791337,129809688.18072958,1441887826.2598634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0304,0.2938462951675438,0.2938462951675438,0.5672263871427627,0.09002759147876646,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.03978858596780822,0.03971165192281981,0.039496437060134636,0.03949388701690407,0.03948804759419684,0.03971570614022938,0.039410012911441784,0.03941678728286442,0.0390226339602894,0.0396385310453392,0.03494443754046766,0.040032621147154356,0.044992514646420664
low_return_heterogeneity,no_transfers,flat,0,4.0,0.5468557985390063,0.44413806932266314,0.12463755830144892,1323651709.3955123,135422871.04531476,1459074580.440827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0318,0.30521782093752114,0.3052178209375209,0.5577071021466247,0.09281422132952227,0.30000000000000004,0.3,0.3,0.3,0.3,0.3,0.30000000000000004,0.30000000000000004,0.3,0.3,0.03960900806705008,0.03936450411076409,0.039745104256849954,0.03937798695327871,0.03918667412108353,0.039573661276991044,0.0394628472871901,0.039503441079455796,0.03965836496429116,0.03940426335767502,0.03497149507688524,0.0399816580371736,0.044931965255141475
low_return_heterogeneity,no_transfers,flat,0,5.0,0.5401339703390851,0.4384001442798231,0.12269537588682099,1341200187.2122462,142120402.63207337,1483320589.8443196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0267,0.310133423594126,0.310133423594126,0.5521550505845834,0.09581233052727291,0.3,0.3,0.30000000000000004,0.3,0.3,0.3,0.3,0.3,0.29999999999999993,0.3,0.039744748545966324,0.03965169700945232,0.03941077746037795,0.0397056571812805,0.039139562852987336,0.03968697769617518,0.039383263674009156,0.03904789613196526,0.03939595683230493,0.039545633051421905,0.034898015130997925,0.03997490044282937,0.04497112069132848
low_return_heterogeneity,no_transfers,flat,0,6.0,0.5341934520358622,0.4329941304305343,0.12082363237081589,1341163924.8935666,148951976.12831968,1490115901.0218863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.3200414118916377,0.3200414118916377,0.546153338516697,0.09995999373348873,0.30000000000000004,0.3,0.3,0.3,0.3,0.3,0.30000000000000004,0.29999999999999993,0.3,0.3,0.0398078638803121,0.039480756338253355,0.03936897765651622,0.039400784571792545,0.039624235049705504,0.03928591282334844,0.03965944188473928,0.03956666825438409,0.03919741771859654,0.03963215678348172,0.035031819226215725,0.03995866994791712,0.044968297599253325
low_return_heterogeneity,no_transfers,flat,0,7.0,0.528811669302709,0.42789270099113486,0.11907054765820156,1349419558.3907385,156035869.0539246,1505455427.444663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0305,0.32253473061799753,0.32253473061799753,0.5406999551524674,0.1036469537452713,0.29999999999999993,0.29999999999999993,0.3,0.30000000000000004,0.3,0.3,0.3,0.3,0.30000000000000004,0.3,0.03959560265264213,0.03939682347796726,0.03960777795076458,0.03936507087455891,0.039606618496134276,0.03954246933680425,0.03950157891923032,0.03965346474587121,0.039489968788233624,0.03964070754421644,0.03497817838802976,0.04004021920738494,0.04503172558792496
low_return_heterogeneity,no_transfers,flat,0,8.0,0.5239257918335474,0.4230475126076339,0.11731373406476973,1357196917.9227107,162675420.3671566,1519872338.2898672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.324282355236446,0.32428235523644644,0.5340066393161644,0.10703229229778341,0.3,0.3,0.3,0.3,0.3,0.3,0.30000000000000004,0.29999999999999993,0.30000000000000004,0.30000000000000004,0.039792436717699047,0.0395866550973578,0.03973345728585855,0.039317274073805426,0.03956574420159292,0.039158432133042105,0.03972785460015876,0.0394756183208679,0.03987571021408622,0.039646197525476934,0.03508175210997006,0.04007081160568272,0.045040455578883073
low_return_heterogeneity,no_transfers,flat,0,9.0,0.5195993550634084,0.4185935490983246,0.11575885556939619,1353557849.2184463,170351605.18792763,1523909454.406374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0295,0.3280052368212105,0.3280052368212103,0.5316314498224737,0.11178591004561138,0.29999999999999993,0.3,0.3,0.3,0.3,0.3,0.29999999999999993,0.29999999999999993,0.3,0.3,0.03973246966339298,0.039040463380996565,0.039381245458210104,0.03951609734383556,0.03942838765632218,0.039401199588584235,0.039635483436479664,0.03961072960729589,0.039587809391239334,0.03963408276865133,0.03497005689351441,0.03997778519742346,0.044984294051815386
low_return_heterogeneity,no_transfers,flat,0,10.0,0.5155450041633491,0.41430496277997775,0.11416383089701267,1361397893.3950145,177179359.33012444,1538577252.725139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0283,0.3280859031769485,0.3280859031769481,0.5257346638684468,0.11515792204538518,0.29999999999999993,0.29999999999999993,0.3,0.3,0.3,0.29999999999999993,0.3,0.30000000000000004,0.30000000000000004,0.29999999999999993,0.039257484650174465,0.03947309215979925,0.039474128175803196,0.03944671022048058,0.03976332167411746,0.03913775699159353,0.03964197377602842,0.0393558715695026,0.03971774390442799,0.03965873017751503,0.03496461386242346,0.03998979902098922,0.044942248326894654
