return_preset,transfer_policy,tax_scenario,tax_system,calibrated_rate,first_year_revenue_difference,final_gini,final_disposable_income_gini,final_top_10_share,final_top_1_share,final_capital_income_share,final_transfer_spending_share,final_means_tested_recipient_share,final_unemployment_rate,shorrocks_index,rank_correlation,top_20_persistence,bottom_40_to_top_40,seed
low_return_heterogeneity,no_transfers,flat,flat,0.3,0.0,0.47075420234457255,0.3388846381998929,0.3634749847210773,0.09539916557626434,0.216146037033809,0.0,0.0,0.0304,0.667875,0.7714995109909951,0.7825,0.122,0
low_return_heterogeneity,no_transfers,swedish_low_progressivity,swedish,0.33207943526635775,9.5367431640625e-07,0.4677802414382046,0.3235070126086603,0.36356127023367657,0.09605427360942266,0.21478662519530242,0.0,0.0,0.0304,0.658625,0.7785557523815576,0.7935,0.11675,0
low_return_heterogeneity,no_transfers,swedish_baseline_progressivity,swedish,0.34175190177455184,7.152557373046875e-07,0.4626864113080058,0.29246079439922057,0.36505207781112603,0.0971102590762902,0.2126688343648793,0.0,0.0,0.0304,0.640625,0.7952510258245102,0.817,0.104,0
low_return_heterogeneity,no_transfers,swedish_high_progressivity,swedish,0.3133020939398697,-9.5367431640625e-07,0.4576084600692858,0.2565235184041954,0.3669966540068849,0.09806843820014254,0.21075937737637426,0.0,0.0,0.0304,0.613375,0.8159070155270701,0.8375,0.0885,0
low_return_heterogeneity,lump_sum_only,flat,flat,0.3,0.0,0.39424134526473,0.237219246739925,0.31261560749088396,0.07824217292800618,0.25655904519783407,1.0000000000000004,0.0,0.0304,0.7066250000000001,0.7123592381835925,0.758,0.14425,0
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,swedish,0.33207943526635775,9.5367431640625e-07,0.38955199669904195,0.22307850679755914,0.3108437778230035,0.07820440369769129,0.25652232718836876,0.9999999999999997,0.0,0.0304,0.7033750000000001,0.7164449580484497,0.768,0.14075,0
low_return_heterogeneity,lump_sum_only,swedish_baseline_progressivity,swedish,0.34175190177455184,7.152557373046875e-07,0.3819145111041029,0.19760181911518537,0.3091940619910299,0.07815648567153165,0.2564738824393739,1.0000000000000002,0.0,0.0304,0.694375,0.7261308444853085,0.785,0.13325,0
low_return_heterogeneity,lump_sum_only,swedish_high_progressivity,swedish,0.3133020939398697,-9.5367431640625e-07,0.37475517012614046,0.17044553948380048,0.3081472712722959,0.07811595481835172,0.2564370645416855,1.0,0.0,0.0304,0.682375,0.7377787846417878,0.806,0.1265,0
low_return_heterogeneity,universal_plus_safety_floor,flat,flat,0.3,0.0,0.38915283261358535,0.20895130520098526,0.31232507287120037,0.07832786606078951,0.2561506651862724,1.0,0.3601,0.0304,0.6905000000000001,0.7283869196278692,0.7655,0.137,0
low_return_heterogeneity,universal_plus_safety_floor,swedish_low_progressivity,swedish,0.33207943526635775,9.5367431640625e-07,0.3845913662036087,0.19523719929593852,0.31060865114531455,0.07828626913458053,0.2561481046074738,1.0,0.3517,0.0304,0.688625,0.7320748213807482,0.774,0.13375,0
low_return_heterogeneity,universal_plus_safety_floor,swedish_baseline_progressivity,swedish,0.34175190177455184,7.152557373046875e-07,0.3775024744867559,0.1713271124738378,0.3090487584130565,0.07823094871168941,0.25614678047477524,0.9999999999999999,0.3249,0.0304,0.68225,0.740562200293622,0.7935,0.128,0
low_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,swedish,0.3133020939398697,-9.5367431640625e-07,0.3711355736251094,0.14646283119803094,0.3081132159668648,0.07818691664129448,0.25614751613049147,1.0,0.2884,0.0304,0.671625,0.7502557479865574,0.8115,0.12075,0
baseline_return_heterogeneity,no_transfers,flat,flat,0.3,0.0,0.4853005214155601,0.3388846381998929,0.3764782488791378,0.10105817945996107,0.22339792109948892,0.0,0.0,0.0304,0.68075,0.7368253384442534,0.745,0.13175,0
baseline_return_heterogeneity,no_transfers,swedish_low_progressivity,swedish,0.33207943526635775,9.5367431640625e-07,0.4825839204760558,0.3235070126086603,0.37657151297876434,0.1016485205147247,0.22206111255330957,0.0,0.0,0.0304,0.6777500000000001,0.7429030720210308,0.754,0.127,0
baseline_return_heterogeneity,no_transfers,swedish_baseline_progressivity,swedish,0.34175190177455184,7.152557373046875e-07,0.47795528241536833,0.29246079439922057,0.3779123069308902,0.10262571861268441,0.21996704060220917,0.0,0.0,0.0304,0.6656249999999999,0.7568312499443126,0.772,0.11625,0
baseline_return_heterogeneity,no_transfers,swedish_high_progressivity,swedish,0.3133020939398697,-9.5367431640625e-07,0.4733675321093338,0.2565235184041954,0.37957213286380026,0.10357303975169843,0.21806804141569433,0.0,0.0,0.0304,0.6501250000000001,0.7733990598899905,0.7905,0.103,0
baseline_return_heterogeneity,lump_sum_only,flat,flat,0.3,0.0,0.41036887023950586,0.237219246739925,0.32454627732547586,0.08309053744402242,0.2635216995630631,1.0000000000000004,0.0,0.0304,0.72725,0.6721195223291951,0.711,0.15425,0
baseline_return_heterogeneity,lump_sum_only,swedish_low_progressivity,swedish,0.33207943526635775,9.5367431640625e-07,0.4059485496215238,0.22307850679755914,0.3228178555733455,0.08299412002448293,0.26348802834367907,0.9999999999999997,0.0,0.0304,0.725625,0.6752689434566894,0.7185,0.1505,0
baseline_return_heterogeneity,lump_sum_only,swedish_baseline_progressivity,swedish,0.34175190177455184,7.152557373046875e-07,0.3987984868137455,0.19760181911518537,0.32100732083959604,0.08287226166594672,0.26343677196413906,1.0000000000000002,0.0,0.0304,0.7224999999999999,0.6826011666460116,0.74,0.147,0
baseline_return_heterogeneity,lump_sum_only,swedish_high_progressivity,swedish,0.3133020939398697,-9.5367431640625e-07,0.39214645113641367,0.17044553948380048,0.31968412927470274,0.08279777164580839,0.2633896899250029,1.0,0.0,0.0304,0.7164999999999999,0.6910527355065275,0.7475,0.142,0
baseline_return_heterogeneity,universal_plus_safety_floor,flat,flat,0.3,0.0,0.405616145714091,0.20895130520098526,0.32426445368539575,0.0831810942456113,0.2631282429394239,1.0,0.3601,0.0304,0.7181249999999999,0.6844446074924461,0.7175,0.14925,0
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_low_progressivity,swedish,0.33207943526635775,9.5367431640625e-07,0.40132383739796795,0.19523719929593852,0.3225699241823246,0.08307298697295831,0.26312810711212814,1.0,0.3517,0.0304,0.719125,0.6872368831403689,0.7245,0.1465,0
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_baseline_progressivity,swedish,0.34175190177455184,7.152557373046875e-07,0.3947054079415431,0.1713271124738378,0.32084806746778893,0.08293791915722441,0.2631227595561735,0.9999999999999999,0.3249,0.0304,0.718375,0.6934505923905059,0.745,0.14325,0
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,swedish,0.3133020939398697,-9.5367431640625e-07,0.38880918206477877,0.14646283119803094,0.31961402110977477,0.08285812041257735,0.26311171504751135,1.0,0.2884,0.0304,0.712875,0.700378907047789,0.754,0.139,0
high_return_heterogeneity,no_transfers,flat,flat,0.3,0.0,0.532769435284709,0.3388846381998929,0.41622214752930037,0.11912925181089878,0.2658993177410214,0.0,0.0,0.0304,0.77475,0.6408086226960863,0.6345,0.15775,0
high_return_heterogeneity,no_transfers,swedish_low_progressivity,swedish,0.33207943526635775,9.5367431640625e-07,0.5308361637985306,0.3235070126086603,0.4163961726758108,0.11974406459916422,0.2645761812146337,0.0,0.0,0.0304,0.7706249999999999,0.6445865085498651,0.639,0.15575,0
high_return_heterogeneity,no_transfers,swedish_baseline_progressivity,swedish,0.34175190177455184,7.152557373046875e-07,0.5275602501868306,0.29246079439922057,0.4174651493984466,0.12077250117626886,0.26248604007994625,0.0,0.0,0.0304,0.76475,0.6525588334415884,0.6465,0.1525,0
