return_preset,scenario,year,wealth_gini,top_10_share,top_1_share,labour_tax_revenue,capital_tax_revenue,total_tax_revenue,total_transfers,universal_transfer_spending,means_tested_transfer_spending,unemployment_transfer_spending,transfer_spending_share,means_tested_recipient_count,means_tested_recipient_share,unemployment_rate,pre_tax_labour_income_gini,disposable_income_gini,capital_income_gini,capital_income_share,avg_tax_rate_income_decile_1,avg_tax_rate_income_decile_2,avg_tax_rate_income_decile_3,avg_tax_rate_income_decile_4,avg_tax_rate_income_decile_5,avg_tax_rate_income_decile_6,avg_tax_rate_income_decile_7,avg_tax_rate_income_decile_8,avg_tax_rate_income_decile_9,avg_tax_rate_income_decile_10,avg_return_wealth_decile_1,avg_return_wealth_decile_2,avg_return_wealth_decile_3,avg_return_wealth_decile_4,avg_return_wealth_decile_5,avg_return_wealth_decile_6,avg_return_wealth_decile_7,avg_return_wealth_decile_8,avg_return_wealth_decile_9,avg_return_wealth_decile_10,avg_return_class_low,avg_return_class_medium,avg_return_class_high
high_return_heterogeneity,swedish_high_progressivity,1.0,0.5619318494163261,0.4581648452777125,0.12441170431235711,1290869954.3031394,116678512.1479621,1407548466.4511015,1290869954.3031392,1160499600.102112,55541889.074434735,74828465.12659256,0.9999999999999998,2068.0,0.2068,0.0319,0.26925309451352564,0.1175184614351974,0.7068788322625132,0.0783850471596541,0.21104919110268436,0.21104919110268439,0.21104919110268436,0.21104919110268436,0.21104919110268436,0.21639789045878768,0.2477350979331821,0.30370080946883804,0.3651949908410066,0.4528867901900795,0.036605348641435595,0.03569168684544917,0.03620203838420696,0.036213041007710556,0.03608155316052577,0.03543243307501241,0.035967930676632176,0.03840714012929057,0.03619457687086208,0.0364346003036682,0.00044397282789392594,0.0403559805431217,0.08047929089060667
high_return_heterogeneity,swedish_high_progressivity,2.0,0.5438430434353931,0.44645227281664973,0.12075397119208912,1348144687.5329967,123915283.05846602,1472059970.5914629,1348144687.5329967,1212514581.0121531,63962441.72520591,71667664.79563767,1.0,2211.0,0.2211,0.0312,0.28544610848508145,0.1232562809953004,0.7003900266957119,0.08096445069804196,0.21104919110268439,0.21104919110268433,0.21104919110268433,0.21104919110268436,0.21104919110268436,0.21618388059029706,0.25308596585920884,0.3117282508662428,0.3762688248014212,0.4643094992616566,0.03509806423789641,0.0353084121057344,0.03467119820438289,0.03368704060349658,0.03550559958687181,0.03630464739487149,0.03537151923967632,0.037321889230751394,0.03511491695670761,0.0366083734909452,-0.0009059484358243966,0.03986723614336995,0.07961014501839157
high_return_heterogeneity,swedish_high_progressivity,3.0,0.5277460425087412,0.43572421810996426,0.11740524807459723,1390462139.0393143,132726578.78930001,1523188717.8286142,1390462139.039314,1253265165.0488868,69502044.26975068,67694929.72067666,0.9999999999999998,2312.0,0.2312,0.0295,0.295086343926819,0.1267997382418311,0.6906886302908366,0.08592146543551944,0.21104919110268436,0.21104919110268436,0.21104919110268436,0.21104919110268433,0.21104919110268436,0.2171584075087002,0.2563696745042531,0.3163839593218552,0.3828284100820639,0.47182326378422407,0.03369516646445406,0.034939085652389505,0.033567363488408886,0.033828054020815575,0.036164256265412094,0.03411561106658324,0.03697386243301503,0.038562895128770404,0.03574802365214319,0.03840422895366694,-0.0004233491262479241,0.039863055197773896,0.07939627718264264
high_return_heterogeneity,swedish_high_progressivity,4.0,0.5136550517385894,0.4261132764121787,0.11438520723762582,1409751418.714532,142502220.02571368,1552253638.7402453,1409751418.7145321,1265686932.129776,75607849.58984235,68456636.99491403,1.0000000000000002,2392.0,0.2392,0.0305,0.303249898199623,0.12961535416427883,0.6812232851201836,0.09187006174768335,0.21104919110268439,0.21104919110268433,0.21104919110268433,0.21104919110268436,0.21104919110268433,0.21684730085944806,0.2577033881008115,0.32120870364209053,0.3860632352640565,0.47513969956824154,0.03143284055700682,0.03392607150451659,0.033278913352718514,0.033618190412019265,0.03606172777393405,0.03695972771100221,0.038443813381994076,0.03891689076220982,0.03470999987855621,0.03944596457631821,4.163783352516779e-05,0.03972452376962418,0.07944012128522647
high_return_heterogeneity,swedish_high_progressivity,5.0,0.5012075823378863,0.4173627582843962,0.11176712988354505,1439159674.2144604,155107523.14957306,1594267197.3640335,1439159674.2144604,1294416205.9641118,78700469.74157023,66042998.50877842,1.0,2465.0,0.2465,0.0295,0.3101464032774537,0.13214664616699956,0.6737629734771813,0.09813269256055662,0.2110491911026843,0.21104919110268436,0.2110491911026843,0.2110491911026844,0.21104919110268433,0.2166811081318179,0.2593435868410704,0.32418952409997054,0.393166431967879,0.47901995162314864,0.03175790687112349,0.03261987483744241,0.033272860313041594,0.03451088021091409,0.03581296468290664,0.036826424910640795,0.039606239998252635,0.04077754650786454,0.03498465415408168,0.04058510846073662,0.00011753715518747783,0.04042949823797288,0.07954507098966819
high_return_heterogeneity,swedish_high_progressivity,6.0,0.490329712800311,0.40930035956735594,0.10942638290560787,1455691641.1887836,164712226.2356525,1620403867.4244363,1455691641.1887836,1305246987.5797346,80651243.03588969,69793410.57315975,1.0,2444.0,0.2444,0.031,0.31566448102849254,0.13370122457580225,0.6673631928017532,0.10384358059921919,0.21104919110268436,0.21104919110268433,0.21104919110268439,0.21104919110268436,0.21104919110268436,0.21647419476423593,0.2616928555620651,0.3276051189323583,0.39658954669811936,0.4809564526662815,0.03055131559839078,0.031181621974738824,0.03291065197437091,0.03347567181117338,0.03614789888748862,0.036692249125810275,0.041159387060144444,0.040412861464572424,0.03791668656772709,0.04022328726427054,0.0002722429923877972,0.039898622433771284,0.08060181794779513
high_return_heterogeneity,swedish_high_progressivity,7.0,0.4805614008950416,0.40187971751407603,0.10702032660180794,1485721239.845808,174596939.3933378,1660318179.239146,1485721239.8458076,1338317473.6117437,82760032.94577649,64643733.28828719,0.9999999999999997,2483.0,0.2483,0.0283,0.3210818153082189,0.1359383932335272,0.661874591389839,0.1079398946538654,0.21104919110268433,0.21104919110268433,0.21104919110268439,0.21104919110268433,0.21104919110268436,0.21627567554720764,0.2599707367470443,0.32809541562272365,0.3999588579654637,0.48613414357801676,0.02855599464489682,0.03164952595276655,0.031399694603030645,0.0334158104262559,0.03589999449191072,0.03653972983865512,0.0413653873472701,0.04133575111146958,0.0374011817158991,0.041160720321023095,-0.00013084781739469833,0.040080654815916265,0.07977642991664334
high_return_heterogeneity,swedish_high_progressivity,8.0,0.4721845921746486,0.39540977941401323,0.10522714252521305,1501723829.700928,188595289.30321723,1690319119.0041451,1501723829.700928,1344847890.3742163,85435174.42670992,71440764.9000014,1.0,2518.0,0.2518,0.0321,0.3276035070073309,0.13763005273873685,0.6647074209126604,0.11568204490630277,0.21104919110268433,0.21104919110268436,0.2110491911026843,0.21104919110268436,0.21104919110268436,0.21653858741395365,0.2620567116221123,0.33148453145830115,0.40432298528352956,0.4876570604603857,0.027595755542702938,0.030573485747826458,0.03110566445209815,0.03265328914003968,0.03531552485205188,0.037828579951037354,0.04176822071572774,0.042374808049382096,0.03800221646936161,0.04247024212933116,8.344566069063008e-05,0.040105287421513834,0.07987459943458276
high_return_heterogeneity,swedish_high_progressivity,9.0,0.46484721184673083,0.38942376593596634,0.10333454141170324,1499665590.9806895,199235438.37986475,1698901029.3605542,1499665590.9806895,1334240355.2262974,86587267.85365188,78837967.90074022,1.0,2536.0,0.2536,0.0347,0.33053453935713906,0.13825737234371505,0.6596017114244856,0.1217229656409519,0.21104919110268436,0.21104919110268436,0.21104919110268436,0.21104919110268439,0.21104919110268439,0.21612853374793595,0.26277129787097314,0.33352195205999935,0.4030029041714686,0.48774126582198735,0.025927982979609836,0.030311241346608963,0.02962634853660799,0.032190474205615154,0.034771287451565866,0.03783192511832606,0.041539760001478285,0.04358402829841837,0.03967547915276173,0.043211741613390954,-0.0003462883458843928,0.03976843892086633,0.08085906575319837
high_return_heterogeneity,swedish_high_progressivity,10.0,0.4583668242676997,0.3840560724052522,0.10184090034080814,1538867485.6782503,213194379.16509575,1752061864.8433459,1538867485.67825,1389895218.4028246,86917443.51201935,62054823.76340632,0.9999999999999999,2539.0,0.2539,0.0276,0.32999496632300085,0.1389687645769715,0.6605579928253602,0.12768543835238189,0.21104919110268439,0.21104919110268439,0.21104919110268436,0.2110491911026843,0.21104919110268436,0.21743354807035725,0.26672486187465344,0.3357268516546715,0.40812745116911714,0.49113837597149285,0.025292453652975118,0.028138555403367592,0.028624014527760373,0.0343078941789985,0.03572473833191839,0.03772517367670981,0.041722210937856885,0.04425602928323941,0.03969594613203441,0.04333227810157143,-1.5709428176422827e-05,0.04003355994134744,0.07976841386096743
