return_preset,transfer_policy,tax_scenario,year,wealth_gini,top_10_share,top_1_share,labour_tax_revenue,capital_tax_revenue,total_tax_revenue,total_transfers,universal_transfer_spending,means_tested_transfer_spending,unemployment_transfer_spending,transfer_spending_share,means_tested_recipient_count,means_tested_recipient_share,unemployment_rate,pre_tax_labour_income_gini,disposable_income_gini,capital_income_gini,capital_income_share,avg_tax_rate_income_decile_1,avg_tax_rate_income_decile_2,avg_tax_rate_income_decile_3,avg_tax_rate_income_decile_4,avg_tax_rate_income_decile_5,avg_tax_rate_income_decile_6,avg_tax_rate_income_decile_7,avg_tax_rate_income_decile_8,avg_tax_rate_income_decile_9,avg_tax_rate_income_decile_10,avg_return_wealth_decile_1,avg_return_wealth_decile_2,avg_return_wealth_decile_3,avg_return_wealth_decile_4,avg_return_wealth_decile_5,avg_return_wealth_decile_6,avg_return_wealth_decile_7,avg_return_wealth_decile_8,avg_return_wealth_decile_9,avg_return_wealth_decile_10,avg_return_class_low,avg_return_class_medium,avg_return_class_high
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,1.0,0.5618971503840822,0.45790997804890654,0.12422756955901773,1292438015.2545533,118931601.54630643,1411369616.8008597,1292438015.2545538,1292438015.2545538,0.0,0.0,1.0000000000000004,0.0,0.0,0.0319,0.26925309451352564,0.1831711462407597,0.5868994960126526,0.08423480136455308,0.2919159579826299,0.29191595798263,0.2919159579826299,0.29191595798263,0.29191595798263,0.2919159579826299,0.29191595798263,0.29191595798263,0.2938160761877992,0.3294063148204488,0.0395613371603589,0.039407921711362294,0.03967050959605174,0.039633260251927635,0.03943538829013144,0.039483108268753106,0.03951698266915805,0.03998678503232264,0.03963364421771552,0.03958365007591705,0.03511099320697348,0.04008899513578043,0.045119822722651665
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,2.0,0.5439939592889165,0.4457728142149549,0.12029552870880908,1322537529.924854,126046531.72511628,1448584061.64997,1322537529.9248543,1322537529.9248543,0.0,0.0,1.0000000000000002,0.0,0.0,0.0312,0.28544610848508145,0.19256192917655834,0.5672541733892098,0.08758334082505118,0.2919159579826299,0.29191595798263,0.29191595798263,0.29191595798263,0.29191595798263,0.29191595798263,0.29191595798262987,0.2919159579826299,0.2953988491663655,0.3371658249468929,0.039507170964904505,0.039444951778909214,0.03929141371213709,0.03917802124174026,0.039507867027404886,0.03946058951521336,0.03918867434219263,0.03954845524865038,0.03936689454829063,0.039366413059550125,0.034773512891043905,0.03996680903584249,0.04490632137572272
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,3.0,0.5281483649022556,0.43458624883635155,0.11666499536679685,1347516335.3531468,134310809.9398669,1481827145.2930138,1347516335.3531466,1347516335.3531466,0.0,0.0,0.9999999999999998,0.0,0.0,0.0295,0.295086343926819,0.19788734419418064,0.5500264643428321,0.09168777791249322,0.2919159579826299,0.2919159579826299,0.29191595798263,0.29191595798262987,0.29191595798262987,0.2919159579826299,0.29191595798263,0.29191595798263,0.2965304560421641,0.34255432324064655,0.039300150605648836,0.039768214394518976,0.039113681919418615,0.03921025553088528,0.03966391289977205,0.039132024455024866,0.039279023328246794,0.039504024903903104,0.03957840190987809,0.03955494683411813,0.034894162718438024,0.03996576379944348,0.044849069295660654
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,4.0,0.5142631645531632,0.42438710028184773,0.11334787192603817,1355788914.771123,142931200.1639126,1498720114.9350355,1355788914.7711225,1355788914.7711225,0.0,0.0,0.9999999999999997,0.0,0.0,0.0305,0.303249898199623,0.2028832474259903,0.534734885097647,0.09671615273187809,0.29191595798263,0.2919159579826299,0.2919159579826299,0.2919159579826299,0.2919159579826299,0.2919159579826299,0.29191595798263,0.29191595798263,0.2971014058634791,0.3450919920864263,0.039165206573454014,0.039655968613907105,0.03912331410943979,0.03944250581013743,0.03933607125141639,0.03949391367708506,0.03958096819254705,0.03954110989784483,0.0394212506751426,0.039543368123622545,0.0350104094583813,0.03993113094240605,0.04486010161564507
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,5.0,0.5019522084856145,0.414974127723538,0.11029373675307251,1372396529.4370756,152068612.0311595,1524465141.468235,1372396529.4370756,1372396529.4370756,0.0,0.0,1.0,0.0,0.0,0.0295,0.3101464032774537,0.2067520743158784,0.5216606179276844,0.10149831183480669,0.2919159579826299,0.2919159579826299,0.2919159579826299,0.29191595798263,0.29191595798263,0.29191595798263,0.29191595798262987,0.2919159579826299,0.29882917050162877,0.34798548614774133,0.03957766129080172,0.039247175725389494,0.03955919775298665,0.03946593268430108,0.03942172980114362,0.03950144008220386,0.039796252046547013,0.03966892834929247,0.03929095058524982,0.03976545962392569,0.03502938428879687,0.040107374559493224,0.044886826614865705
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,6.0,0.49109237187837884,0.40629629699606706,0.1074888254335999,1379792313.0039706,161095408.5041872,1540887721.508158,1379792313.0039706,1379792313.0039706,0.0,0.0,1.0,0.0,0.0,0.031,0.31566448102849254,0.21010749359720604,0.5094758016477887,0.10656098131357483,0.29191595798263,0.2919159579826299,0.29191595798263,0.29191595798263,0.29191595798263,0.29191595798263,0.29191595798263,0.2919159579826299,0.29963094630067716,0.3495111509100047,0.03960222705988471,0.039255568917207655,0.039335984380523326,0.03934164152761957,0.039397946713423365,0.039662959201992,0.039713904063728954,0.039713525251543855,0.039680987152218704,0.03957003052008884,0.03506806074809695,0.03997465560844282,0.04515139213439185
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,7.0,0.48135320583378194,0.3982410377775967,0.10483438276133439,1401820002.2654905,169927572.47411126,1571747574.739602,1401820002.2654908,1401820002.2654908,0.0,0.0,1.0000000000000002,0.0,0.0,0.0283,0.3210818153082189,0.21260377618688286,0.498033284103067,0.11066208058397538,0.2919159579826299,0.29191595798263,0.29191595798263,0.29191595798263,0.2919159579826299,0.29191595798263,0.2919159579826299,0.29191643951780644,0.30089949286744383,0.35340912237848804,0.03926497168050571,0.03952935797444937,0.039380701222045456,0.03928027216155636,0.03971948665264772,0.039383888667211604,0.03964556591597413,0.039519225788467956,0.03954228999608238,0.03952018755435374,0.03496728804565133,0.04002016370397907,0.04494410747916083
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,8.0,0.47263614804685306,0.39087345874299717,0.10244775121152268,1408020273.1565192,180131835.0264305,1588152108.1829495,1408020273.1565194,1408020273.1565194,0.0,0.0,1.0000000000000002,0.0,0.0,0.0321,0.3276035070073309,0.21670624779178693,0.4901216591902553,0.11628539233310722,0.2919159579826299,0.2919159579826299,0.2919159579826299,0.29191595798263,0.29191595798263,0.29191595798263004,0.2919159579826299,0.29194890033664306,0.30228609170654125,0.35449002239971594,0.03952871510848472,0.039254084200968375,0.03953799385310433,0.03923744441930385,0.03921773775470106,0.039888699635584716,0.03960971828727824,0.03959823381232599,0.03945156940676442,0.039702750283874065,0.03502086141517266,0.04002632185537846,0.04496864985864569
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,9.0,0.46474239915601956,0.3840634878455675,0.10018359896724677,1404154822.7421389,189598668.63815528,1593753491.3802938,1404154822.7421386,1404154822.7421386,0.0,0.0,0.9999999999999998,0.0,0.0,0.0347,0.33053453935713906,0.21873772636205602,0.480752472341228,0.12195912057554477,0.29191595798263,0.29191595798263,0.2919159579826299,0.2919159579826299,0.29191595798263,0.29191595798263,0.2919159579826299,0.291953300978215,0.3017244416491751,0.354750312773594,0.03924675441805928,0.0395297092604538,0.03925999222125625,0.039089320466296915,0.0391946740586679,0.03991766548411915,0.03962552986535404,0.039695918804391835,0.03965575573103585,0.03955724686646079,0.0349134279135289,0.03994210973021658,0.04521476643829959
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,10.0,0.4574844315106328,0.3776719298934182,0.09809852399187291,1433437261.2391598,200213128.64095524,1633650389.880115,1433437261.2391598,1433437261.2391598,0.0,0.0,1.0,0.0,0.0,0.0276,0.32999496632300085,0.21739981513117534,0.4737034509605562,0.12601857628137858,0.29191595798263,0.29191595798263,0.29191595798263,0.29191595798262987,0.29191595798263,0.2919159579826299,0.29191595798263004,0.2920070382613512,0.30348350430983906,0.3574730605257919,0.03926320826828686,0.03930141973495691,0.039362301588316294,0.039514720590522245,0.039440700679970214,0.039481121010361026,0.039662201042673276,0.03971641050453048,0.03943153660693754,0.03963620353005315,0.0349960726429559,0.04000838998533686,0.044942103465241856
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,11.0,0.45086024781356393,0.37172307182142766,0.09611667646684355,1439977576.241734,210135503.04788527,1650113079.2896194,1439977576.2417336,1439977576.2417336,0.0,0.0,0.9999999999999997,0.0,0.0,0.0311,0.3359451572077303,0.22107883326696198,0.46574404023447036,0.13114160993023613,0.2919159579826299,0.29191595798263,0.29191595798263004,0.2919159579826299,0.29191595798263,0.2919159579826299,0.29191595798263,0.29204089846900416,0.30384788322667233,0.35884849570853367,0.03944752795285291,0.03948110513355956,0.039228365986458555,0.039106837412780975,0.03934001813392192,0.0395397990991955,0.03951371453895091,0.039843814252182364,0.03921142906485413,0.03960734448508326,0.03482258639850577,0.04004485659842958,0.044866990158306426
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,12.0,0.4448016969007138,0.366156687310709,0.09425626498110933,1447914669.3225203,221818649.54980278,1669733318.872323,1447914669.3225203,1447914669.3225203,0.0,0.0,1.0,0.0,0.0,0.0298,0.3369093049994818,0.22142370477480178,0.45994250599007613,0.13692260661610747,0.29191595798263,0.2919159579826299,0.2919159579826299,0.29191595798263,0.29191595798263004,0.29191595798263,0.29191595798263004,0.29207933930594576,0.3039196394875779,0.35988811896849,0.03931664091143895,0.03933762969187855,0.03942427794277596,0.03963113531248099,0.039318594322478945,0.03952932379380243,0.039548747610671196,0.03978367678187521,0.03971958342852991,0.03971366928273497,0.035077927813226634,0.03996927546585292,0.04517432998611827
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,13.0,0.4392354066296551,0.36096711294002687,0.09249749371678388,1451905044.6222582,232551130.17600945,1684456174.7982676,1451905044.6222582,1451905044.6222582,0.0,0.0,1.0,0.0,0.0,0.0281,0.3366408013888802,0.22110182353229413,0.4534979918558002,0.14234556221460876,0.29191595798263,0.29191595798263,0.2919159579826299,0.29191595798262987,0.29191595798263,0.29191595798263,0.29191595798263004,0.2920884226661511,0.3052589975127075,0.3599645796303646,0.039266405638489876,0.03925674579124727,0.039451238056469606,0.03934066192494546,0.03943554670056073,0.03946209606640008,0.03987124576408602,0.03961313396865586,0.03940372706292495,0.039607995720824435,0.03505458266014472,0.03995929872352234,0.04492605625354457
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,14.0,0.43414579108437845,0.356172438675417,0.0909071291369076,1448565344.670675,244885355.90390393,1693450700.5745788,1448565344.6706753,1448565344.6706753,0.0,0.0,1.0000000000000002,0.0,0.0,0.0306,0.33847730283842337,0.2223386232834319,0.44996028627253226,0.14909525560560866,0.29191595798263,0.2919159579826299,0.29191595798263,0.29191595798263,0.29191595798263,0.2919159579826299,0.2919159579826299,0.2920980151371291,0.3050876915293713,0.3601072924626349,0.03922743785832671,0.039273039552622985,0.03941604250763682,0.03950116749098237,0.039486865872701615,0.03924512208047325,0.03977211160219819,0.03960113633460643,0.03949902005468176,0.03978306815634194,0.03498509372154245,0.03996580434714916,0.04506317674464183
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,15.0,0.4294040521156952,0.3516143642119467,0.08936392289170968,1446502931.0516374,254934185.15733767,1701437116.208975,1446502931.0516367,1446502931.0516367,0.0,0.0,0.9999999999999996,0.0,0.0,0.029,0.3364401604962379,0.22111619950289785,0.4425010992006455,0.15434475297876737,0.2919159579826299,0.29191595798263,0.2919159579826299,0.2919159579826299,0.29191595798263,0.29191595798263,0.29191595798263,0.29204904702725,0.30470560992846774,0.359617711716126,0.03913846251765324,0.039074596663398437,0.03924944606506042,0.039562659012044595,0.03906124182375581,0.039528835498949214,0.039134833360631206,0.039678710750476735,0.03979963898470444,0.03927752444222702,0.03487166745644878,0.0398341412198718,0.04491274890224915
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,16.0,0.42513889965384943,0.34742581399740674,0.08793538915018344,1451153152.5690951,269210127.5744463,1720363280.1435416,1451153152.569095,1451153152.569095,0.0,0.0,0.9999999999999999,0.0,0.0,0.0304,0.3362216164342777,0.22099713095131812,0.4405162824113018,0.16114263322778394,0.29191595798263,0.2919159579826299,0.29191595798263,0.29191595798263,0.29191595798263,0.29191595798263,0.2919159579826299,0.2921310076838183,0.30478162171333584,0.3596258768782803,0.03906463219953348,0.03928337459449337,0.03928456479319007,0.03918446809416959,0.03947977091473124,0.0395522332348631,0.03945437036264898,0.03980629104103274,0.03990058721307576,0.03988089083417845,0.035071958028673876,0.0400438804756239,0.04477909340173705
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,17.0,0.4210937848850589,0.3434805146899499,0.08661339608132972,1456470937.605397,280920935.4065672,1737391873.0119638,1456470937.6053972,1456470937.6053972,0.0,0.0,1.0000000000000002,0.0,0.0,0.027,0.33500185142805794,0.21996827471752578,0.43542278104004684,0.1665495432160072,0.29191595798263,0.2919159579826299,0.29191595798263,0.29191595798263,0.2919159579826299,0.29191595798263,0.29191595798263,0.29211486985511276,0.3047445269911724,0.3601743336011842,0.03931486592391487,0.03896572254850321,0.03935697830006405,0.03949904750801251,0.039261739116079865,0.03947622318763437,0.03940590119739339,0.03973990650944538,0.03954893999650693,0.03969006207681339,0.03486293031537553,0.04000661686208188,0.044871509690926036
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,18.0,0.4173353873703274,0.33980307872919796,0.08533424233902348,1448182500.9376721,293808319.965405,1741990820.9030771,1448182500.9376721,1448182500.9376721,0.0,0.0,1.0,0.0,0.0,0.0304,0.33706836249446104,0.2216538972453077,0.43090415487178846,0.17357161735346088,0.2919159579826299,0.29191595798263,0.29191595798263,0.2919159579826299,0.29191595798263,0.29191595798263,0.29191595798263,0.2920792214466264,0.3046866466825611,0.3593614260298367,0.039261144149528575,0.0389755832945972,0.039338787065270706,0.03934663566315119,0.03949269697152533,0.03961347972791103,0.03948665545380533,0.03965752977920655,0.03983919129946067,0.039605038469821,0.0349064805461597,0.04002593467197996,0.04493662828395816
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,19.0,0.41388596150810364,0.33638256049900517,0.0841572112148474,1447967622.6597173,307141256.1211138,1755108878.7808313,1447967622.659718,1447967622.659718,0.0,0.0,1.0000000000000004,0.0,0.0,0.0308,0.3386876372761256,0.22266496985004403,0.4269383386710275,0.180116574534357,0.2919159579826299,0.29191595798263,0.29191595798263,0.29191595798263,0.29191595798263,0.29191595798263,0.2919159579826299,0.29211656981672984,0.3046308002865981,0.35964622307949135,0.03936999197546867,0.03929845729374101,0.03925569189539026,0.03906146367350941,0.03959598798091628,0.039571579251645214,0.03955047224879564,0.03968570426147123,0.03971449968611324,0.039602803287862566,0.03503350747677257,0.03994141330512911,0.04500175025070033
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,20.0,0.410668730966381,0.33322568553631554,0.08309043882867306,1436684313.3845463,321564025.3987486,1758248338.7832952,1436684313.3845463,1436684313.3845463,0.0,0.0,1.0,0.0,0.0,0.0288,0.3367846842711555,0.22178238212592638,0.42473680925770707,0.18794253035836633,0.29191595798263,0.2919159579826299,0.29191595798263,0.29191595798263,0.2919159579826299,0.2919159579826299,0.2919159579826299,0.29206008753484625,0.3045853196815332,0.3582372477914703,0.03918743807136287,0.03934075480598117,0.03938955999231904,0.03951505796338217,0.03928605385278091,0.03934445324484514,0.03974128030002986,0.03986680660141663,0.03972894449770689,0.039657137148895516,0.03493959565666937,0.0400483071535824,0.04505174963052776
