decomposition,scenario,tax_system,calibrated_rate,first_year_revenue_difference,final_gini,final_disposable_income_gini,final_top_10_share,final_top_1_share,final_capital_income_share,final_transfer_spending_share,shorrocks_index,rank_correlation,top_20_persistence,bottom_40_to_top_40,seed
baseline,flat,flat,0.3,0.0,0.4058104513009182,0.20440271334970794,0.3242415134688094,0.08317322229370423,0.26313544003729417,1.0,0.718875,0.6840780531847805,0.7175,0.14975,0
baseline,swedish_baseline_progressivity,swedish,0.34175190177455184,7.152557373046875e-07,0.3948855356447949,0.16655562029930815,0.320821522165724,0.08293005753375601,0.2631299567611571,0.9999999999999999,0.717625,0.693093188502932,0.7445,0.14275,0
baseline,swedish_high_progressivity,swedish,0.3133020939398697,-9.5367431640625e-07,0.3889721971627782,0.14144380608941587,0.3195910511987418,0.08284950079103442,0.26311891246824276,1.0,0.7125,0.700056895888569,0.7535,0.139,0
no_transfers,flat,flat,0.3,0.0,0.4853005214155601,0.3388846381998929,0.3764782488791378,0.10105817945996107,0.22339792109948892,0.0,0.68075,0.7368253384442534,0.745,0.13175,0
no_transfers,swedish_baseline_progressivity,swedish,0.34175190177455184,7.152557373046875e-07,0.47795528241536833,0.29246079439922057,0.3779123069308902,0.10262571861268441,0.21996704060220917,0.0,0.6656249999999999,0.7568312499443126,0.772,0.11625,0
no_transfers,swedish_high_progressivity,swedish,0.3133020939398697,-9.5367431640625e-07,0.4733675321093338,0.2565235184041954,0.37957213286380026,0.10357303975169843,0.21806804141569433,0.0,0.6501250000000001,0.7733990598899905,0.7905,0.103,0
homogeneous_returns,flat,flat,0.3,0.0,0.3888842766163463,0.20440271334970794,0.31215392183130936,0.07822035036090354,0.25848000107131214,1.0,0.693125,0.7315514164395142,0.7645,0.13175,0
homogeneous_returns,swedish_baseline_progressivity,swedish,0.34175190177455184,7.152557373046875e-07,0.37722448219668747,0.16655562029930815,0.30895822921009497,0.07816269281016121,0.25847898178475465,0.9999999999999999,0.6816249999999999,0.7440450716524506,0.796,0.1235,0
homogeneous_returns,swedish_high_progressivity,swedish,0.3133020939398697,-9.5367431640625e-07,0.3708433463426972,0.14144380608941587,0.30797149273530405,0.07812092065108624,0.2584855871767148,1.0,0.673,0.7539851124638511,0.8105,0.1155,0
homogeneous_saving_rates,flat,flat,0.3,0.0,0.38488220165947884,0.20440271334970794,0.3193766023507182,0.08261311376735124,0.26302941826921467,1.0,0.697,0.7228759321487592,0.7555,0.1225,0
homogeneous_saving_rates,swedish_baseline_progressivity,swedish,0.34175190177455184,7.152557373046875e-07,0.37215944975324344,0.16655562029930815,0.3172087481045108,0.08248839733294401,0.263037704860931,0.9999999999999999,0.6877500000000001,0.7443068755830687,0.7815,0.10875,0
homogeneous_saving_rates,swedish_high_progressivity,swedish,0.3133020939398697,-9.5367431640625e-07,0.3651338490405438,0.14144380608941587,0.31652985018018714,0.08242497269892608,0.26303380876824684,1.0,0.6741250000000001,0.7615888001478881,0.796,0.096,0
no_capital_tax,flat,flat,0.3,0.0,0.43605333277175373,0.20440271334970794,0.34914475500074194,0.09330100765457988,0.33005649397782605,1.0,0.739125,0.6727318676833187,0.69,0.1485,0
no_capital_tax,swedish_baseline_progressivity,swedish,0.34175190177455184,7.152557373046875e-07,0.4272776641044551,0.16655562029930815,0.3465490035065724,0.09304992076271298,0.3300542471707297,0.9999999999999999,0.73875,0.6787937698279377,0.7035,0.14275,0
no_capital_tax,swedish_high_progressivity,swedish,0.3133020939398697,-9.5367431640625e-07,0.4225573778988094,0.14144380608941587,0.3454969128475441,0.09296449591099404,0.3300409962738811,1.0,0.7355,0.68323299470833,0.716,0.1405,0
baseline,flat,flat,0.3,0.0,0.4092196433515294,0.2017225365873745,0.3298175145370673,0.08906709250624731,0.2645304463023526,1.0000000000000002,0.727875,0.6657266887052669,0.7295,0.16075,1
baseline,swedish_baseline_progressivity,swedish,0.34342107922159393,0.0,0.3983062542600533,0.16421933411908118,0.32598946304445486,0.0889868275823805,0.2645818513576971,0.9999999999999999,0.725625,0.6769369205653691,0.743,0.1515,1
baseline,swedish_high_progressivity,swedish,0.3164182280030343,2.384185791015625e-07,0.39239413986021376,0.13869274999954873,0.3247668640702691,0.08896169945884581,0.26461364976453,0.9999999999999999,0.7255,0.685365195469652,0.7545,0.145,1
no_transfers,flat,flat,0.3,0.0,0.4898498512445082,0.33414330572126016,0.3832626353401104,0.10852931619597755,0.22493499418381818,0.0,0.69025,0.7184079834920798,0.7565,0.144,1
no_transfers,swedish_baseline_progressivity,swedish,0.34342107922159393,0.0,0.48310289362514847,0.2884227638064212,0.38503526117415693,0.11059076036898684,0.22136655423980617,0.0,0.67875,0.7410329391903294,0.782,0.127,1
no_transfers,swedish_high_progressivity,swedish,0.3164182280030343,2.384185791015625e-07,0.47904328974035804,0.2523815654409598,0.3872060358314055,0.11184167278500985,0.21930888342467417,0.0,0.669,0.7599056620470566,0.796,0.1095,1
homogeneous_returns,flat,flat,0.3,0.0,0.3930835084376665,0.2017225365873745,0.3188649852077188,0.08732677579466819,0.2608758576455212,1.0000000000000002,0.696875,0.7105828303338282,0.7645,0.151,1
homogeneous_returns,swedish_baseline_progressivity,swedish,0.34342107922159393,0.0,0.3813286888943199,0.16421933411908118,0.31557373879012507,0.08717590049184384,0.26085944203361555,0.9999999999999999,0.68775,0.7249155300131555,0.7875,0.14,1
homogeneous_returns,swedish_high_progressivity,swedish,0.3164182280030343,2.384185791015625e-07,0.3748609356643158,0.13869274999954873,0.3146786172085845,0.08713019446381914,0.2608651933913198,0.9999999999999999,0.683125,0.7361966965259669,0.8115,0.128,1
homogeneous_saving_rates,flat,flat,0.3,0.0,0.3894449067326733,0.2017225365873745,0.3248345902787529,0.088706207407027,0.26459709743609705,1.0000000000000002,0.705,0.7088104395801044,0.765,0.13725,1
homogeneous_saving_rates,swedish_baseline_progressivity,swedish,0.34342107922159393,0.0,0.3767431727306554,0.16421933411908118,0.3225824728934715,0.08857683240735685,0.2646541436994654,0.9999999999999999,0.6953750000000001,0.7331715564717155,0.784,0.11725,1
homogeneous_saving_rates,swedish_high_progressivity,swedish,0.3164182280030343,2.384185791015625e-07,0.3696660861870742,0.13869274999954873,0.3218749428631145,0.08856240105709684,0.2646657917629408,0.9999999999999999,0.678375,0.7525738601417385,0.799,0.106,1
no_capital_tax,flat,flat,0.3,0.0,0.438556842097392,0.2017225365873745,0.35330272193515005,0.09753382571435715,0.330892265335877,1.0000000000000002,0.744125,0.65761799688018,0.703,0.1555,1
no_capital_tax,swedish_baseline_progressivity,swedish,0.34342107922159393,0.0,0.4298256800655367,0.16421933411908118,0.35032716237997197,0.09747692177181762,0.3309467097260044,0.9999999999999999,0.7384999999999999,0.6657961414779614,0.718,0.15025,1
no_capital_tax,swedish_high_progressivity,swedish,0.3164182280030343,2.384185791015625e-07,0.4251480783206858,0.13869274999954873,0.3492386834184672,0.0974696789254965,0.3309813801508845,0.9999999999999999,0.74025,0.6716247907522479,0.7245,0.14475,1
baseline,flat,flat,0.3,0.0,0.4022316168665754,0.203378186289775,0.3233028818969801,0.08418245887628521,0.2598131510322149,1.0,0.739625,0.6629383233653833,0.7165,0.165,2
baseline,swedish_baseline_progressivity,swedish,0.3417973840248987,-2.384185791015625e-07,0.3913798961629369,0.16575405843307323,0.31929051003582254,0.08403257423826838,0.25973722237979247,1.0000000000000002,0.7286250000000001,0.6730157278901573,0.7375,0.1565,2
baseline,swedish_high_progressivity,swedish,0.3131074076473533,0.0,0.3855661378316526,0.14057054212640852,0.31786685192124137,0.08402361577276841,0.25970487273841714,0.9999999999999997,0.724625,0.6808558928085588,0.7495,0.14925,2
no_transfers,flat,flat,0.3,0.0,0.4813438487200967,0.33667329991631756,0.3754895705995723,0.10237930612494184,0.22030918564987442,0.0,0.69475,0.7183600388356004,0.749,0.14425,2
no_transfers,swedish_baseline_progressivity,swedish,0.3417973840248987,-2.384185791015625e-07,0.4739426838184433,0.2905528924881311,0.3762696428117613,0.10413257779423359,0.216874824068679,0.0,0.6808749999999999,0.7394419898424199,0.7765,0.1265,2
no_transfers,swedish_high_progressivity,swedish,0.3131074076473533,0.0,0.46937492257512137,0.25466347639355447,0.37774524401429904,0.1051968984660373,0.2150196908270885,0.0,0.6693749999999999,0.7570430030144301,0.797,0.11125,2
homogeneous_returns,flat,flat,0.3,0.0,0.3885960189770741,0.203378186289775,0.3145939040623419,0.08350476346306987,0.25790860344981115,1.0,0.70775,0.7148260806442607,0.7585,0.1505,2
