scenario,year,wealth_gini,top_10_share,top_1_share,labour_tax_revenue,capital_tax_revenue,total_tax_revenue,total_transfers,pre_tax_labour_income_gini,disposable_income_gini,capital_income_gini,capital_income_share,avg_tax_rate_income_decile_1,avg_tax_rate_income_decile_2,avg_tax_rate_income_decile_3,avg_tax_rate_income_decile_4,avg_tax_rate_income_decile_5,avg_tax_rate_income_decile_6,avg_tax_rate_income_decile_7,avg_tax_rate_income_decile_8,avg_tax_rate_income_decile_9,avg_tax_rate_income_decile_10,avg_return_wealth_decile_1,avg_return_wealth_decile_2,avg_return_wealth_decile_3,avg_return_wealth_decile_4,avg_return_wealth_decile_5,avg_return_wealth_decile_6,avg_return_wealth_decile_7,avg_return_wealth_decile_8,avg_return_wealth_decile_9,avg_return_wealth_decile_10,avg_return_class_low,avg_return_class_medium,avg_return_class_high
swedish_baseline_progressivity,1.0,0.5598643631719302,0.4566634724342805,0.12389742015848261,1337957731.5341568,115024697.3406164,1452982428.874773,1452982428.8747733,0.2456559284321045,0.14494521481306388,0.6237710506428162,0.07913933544829244,0.26072959554879566,0.2607295955487957,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.2612473743481658,0.26816758061089774,0.2836191184923786,0.31795769399111057,0.3974992347401026,0.0383026743207178,0.03784584342272458,0.03810101919210348,0.03810652050385528,0.038040776580262885,0.0377162165375062,0.0379839653383161,0.03920357006464528,0.03809728843543104,0.038217300151834104,0.020221986413946964,0.040177990271560854,0.06023964544530334
swedish_baseline_progressivity,2.0,0.5401892987619574,0.4435614074180638,0.11981450825490556,1384192235.408022,122434668.32450487,1506626903.7325263,1506626903.7325263,0.2609831248425043,0.1514307193048665,0.6074965237309045,0.08258510167962985,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.2607295955487957,0.26072959554879566,0.2613989088825192,0.2694894549031392,0.28625408152371,0.32600603045106535,0.40873525523745424,0.03769908388574856,0.03819360628833488,0.03737250597922121,0.03710823161437872,0.03839158317948892,0.037843746802139554,0.03818607468332161,0.038409797530633984,0.037707517633315125,0.037981212903385866,0.019721045692608734,0.03996312036339828,0.06016969282668495
swedish_baseline_progressivity,3.0,0.5228678656304337,0.43159122493111335,0.11598833501042623,1407381429.9167457,130643556.09342243,1538024986.0101678,1538024986.0101676,0.27223695147888405,0.1567693112766244,0.5908829727544997,0.08712491042582772,0.26072959554879566,0.2607295955487957,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.2614217776080099,0.26999115771025983,0.2884945053076824,0.3331646104242152,0.41320798435153105,0.03777847122436583,0.037723861223635115,0.03742576401615149,0.03729457468104736,0.03851538162530791,0.03750948028719072,0.038207647565102365,0.03877136599993776,0.03759170019423976,0.038301775506233766,0.01985932094425842,0.03993616364210337,0.06014200799573843
swedish_baseline_progressivity,4.0,0.5075015130691296,0.420552545029132,0.11237979022385639,1429573434.4508805,138405522.45627555,1567978956.907156,1567978956.907156,0.2788618161096772,0.15930854054521304,0.575418181577662,0.0911986954580152,0.26072959554879566,0.26072959554879566,0.2607295955487956,0.26072959554879566,0.2607295955487957,0.2615741020083133,0.27025843564580215,0.2892050363036686,0.33694655294412296,0.41777418570671837,0.03781986026435804,0.037761791086991445,0.037043234997606214,0.0367140600085857,0.03755612285723419,0.038356122618087136,0.0381497938723332,0.03895444513753165,0.03726037979446626,0.03847324236293226,0.019875802216190612,0.039836536024065505,0.05984930497875672
swedish_baseline_progressivity,5.0,0.49398869725077854,0.41048220656251627,0.1090801527545252,1453292175.582422,148374027.7586214,1601666203.3410435,1601666203.3410435,0.2868754319828144,0.16260825731329742,0.5691294612054172,0.09643203149511903,0.26072959554879566,0.2607295955487957,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.2615163718180426,0.2705912460764616,0.29145967100214687,0.3421224511431325,0.42154317614135206,0.03656123892987105,0.03773793453149473,0.036647856868357594,0.03629073226865032,0.03778859186924031,0.0379584911397874,0.038091841422568905,0.03905919622619148,0.038134625002145796,0.03886862816040994,0.019571417144069382,0.039726972042543975,0.06010765880672441
swedish_baseline_progressivity,6.0,0.4819802469074981,0.40120945688453297,0.10618127975385262,1470353768.3566172,159051288.3278662,1629405056.6844833,1629405056.684483,0.29298590763742993,0.16509010814813885,0.5569193060734983,0.10221769469214906,0.2607295955487957,0.26072959554879566,0.2607295955487956,0.26072959554879566,0.26072959554879566,0.26150069332042236,0.27149734807099374,0.2933062671264653,0.34600229676411265,0.42410100475066376,0.03732128264589536,0.03724786813761536,0.036491133483415365,0.03717337800237345,0.037635975739508436,0.038391129456441596,0.03899482609180933,0.039518062892329946,0.0380100387629048,0.03906810864798885,0.019947276691774627,0.039991289420053165,0.06023813823839863
swedish_baseline_progressivity,7.0,0.471202429503526,0.3926198385803423,0.10336884297073866,1487300183.9204764,168643182.04851627,1655943365.9689927,1655943365.9689922,0.2987231086373554,0.16743934521900639,0.5459920081932756,0.10718737862740868,0.2607295955487956,0.26072959554879566,0.26072959554879566,0.2607295955487957,0.2607295955487956,0.261720407223173,0.27234282435266066,0.2951348886567848,0.3476470446573799,0.42698864812575293,0.036316402466905276,0.036926980364742776,0.036782499058107855,0.03688111743625733,0.038034458264162456,0.038872643967026436,0.03899612289423537,0.039724673487177495,0.03832704353379472,0.03937864691714157,0.019992693141172847,0.04012603366521396,0.0600265225631665
swedish_baseline_progressivity,8.0,0.4617033273210285,0.3848930721058424,0.10092736016454348,1494285809.71798,180290435.49720153,1674576245.2151814,1674576245.2151814,0.30203269438431923,0.16864407147419502,0.5423651834277432,0.11358740480763568,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.2607295955487957,0.2607295955487957,0.261636832882107,0.27235846245004314,0.2958868199189393,0.3491981951357268,0.4282166480818975,0.0360674287769468,0.036799050306803846,0.03702515105712661,0.03640531796583216,0.038302798846394336,0.03834536311273796,0.039171267192128774,0.039395345236913584,0.03856108570158038,0.039973734374662485,0.02018184128594643,0.03991249573887337,0.060178852541791075
swedish_baseline_progressivity,9.0,0.4532218629057583,0.37775987085384805,0.0987895754882864,1507553804.1510606,192673457.03446263,1700227261.185523,1700227261.1855233,0.3041145331549049,0.16887923208161038,0.5356725099915656,0.11990904960246374,0.2607295955487957,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.2607295955487957,0.26170751336703557,0.27258163698950805,0.2969217662898541,0.35145433752475963,0.4299114990460335,0.036175409459222284,0.03664752306392587,0.036629174575356145,0.03678786813845239,0.03784542496979716,0.038385263718367695,0.03987966018700841,0.040078147013406173,0.039597816499220444,0.04013040581161833,0.020450597771310003,0.04013468283254331,0.060274476562014206
swedish_baseline_progressivity,10.0,0.4454307675442952,0.37100434574248503,0.09665140165792382,1515189289.2776024,200350037.83591145,1715539327.113514,1715539327.1135137,0.3064961886333517,0.16962627748722925,0.5258831710065681,0.12386673109712962,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.2607295955487956,0.26167441071826314,0.27227786007061194,0.2975152921716609,0.35491332991514185,0.43048218720853054,0.034799489265020314,0.03641857126969751,0.0366780534678288,0.03731915212355885,0.03753045096785376,0.03851615868639807,0.03905116372754762,0.0403704004101918,0.039116892379085125,0.03939186316698725,0.020088115533104713,0.03977900348423166,0.06022657512192469
