decomposition,scenario,tax_system,seed_count,calibrated_rate_mean,calibrated_rate_std,calibrated_rate_ci_low,calibrated_rate_ci_high,first_year_revenue_difference_mean,first_year_revenue_difference_std,first_year_revenue_difference_ci_low,first_year_revenue_difference_ci_high,final_gini_mean,final_gini_std,final_gini_ci_low,final_gini_ci_high,final_disposable_income_gini_mean,final_disposable_income_gini_std,final_disposable_income_gini_ci_low,final_disposable_income_gini_ci_high,final_top_10_share_mean,final_top_10_share_std,final_top_10_share_ci_low,final_top_10_share_ci_high,final_top_1_share_mean,final_top_1_share_std,final_top_1_share_ci_low,final_top_1_share_ci_high,final_capital_income_share_mean,final_capital_income_share_std,final_capital_income_share_ci_low,final_capital_income_share_ci_high,final_transfer_spending_share_mean,final_transfer_spending_share_std,final_transfer_spending_share_ci_low,final_transfer_spending_share_ci_high,shorrocks_index_mean,shorrocks_index_std,shorrocks_index_ci_low,shorrocks_index_ci_high,rank_correlation_mean,rank_correlation_std,rank_correlation_ci_low,rank_correlation_ci_high,top_20_persistence_mean,top_20_persistence_std,top_20_persistence_ci_low,top_20_persistence_ci_high,bottom_40_to_top_40_mean,bottom_40_to_top_40_std,bottom_40_to_top_40_ci_low,bottom_40_to_top_40_ci_high
baseline,flat,flat,3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.4057539038396743,0.003494356414296414,0.4017996673114548,0.4097081403678938,0.20316781207561915,0.0013524163012269288,0.20163740896110233,0.20469821519013598,0.32578730330095224,0.003521677052582994,0.3218021505601091,0.3297724560417954,0.08547425789207892,0.0031521397563369284,0.0819072759678638,0.08904123981629404,0.26249301245728723,0.002423376479848117,0.25975070381383053,0.26523532110074394,1.0,1.5700924586837752e-16,0.9999999999999998,1.0000000000000002,0.7287916666666666,0.010405327161282946,0.7170169305290238,0.7405664028043094,0.6709143550851436,0.011485031826728031,0.6579178181001905,0.6839108920700968,0.7211666666666666,0.007234178138070241,0.7129804234637207,0.7293529098696125,0.1585,0.007870038119348605,0.14959421349159246,0.16740578650840754
baseline,swedish_baseline_progressivity,swedish,3,0.34232345500701483,0.0009508424402060346,0.3412474754949475,0.34339943451908217,1.5894571940104166e-07,4.963078497567494e-07,-4.026794830886063e-07,7.205709218906896e-07,0.3948572286892617,0.003463265812087071,0.3909381744894497,0.39877628288907374,0.16550967095048752,0.0011871614086607222,0.1641662713511184,0.16685307054985665,0.3220338317486671,0.0035101657719597544,0.31806170524811844,0.3260059582492158,0.08531648645146829,0.003226056227637948,0.08166586016583093,0.08896711273710566,0.2624830101662155,0.0024862647497638102,0.259669536746012,0.265296483586419,1.0,1.9229626863835638e-16,0.9999999999999998,1.0000000000000002,0.7239583333333334,0.005686240703077377,0.7175237462361599,0.7303929204305069,0.6810152789861528,0.010641938813987928,0.6689727915578001,0.6930577664145054,0.7416666666666667,0.0036855573979159904,0.7374960658572975,0.7458372674760358,0.15025,0.006959705453537534,0.1423743518785224,0.15812564812147759
baseline,swedish_high_progressivity,swedish,3,0.3142759098634191,0.0018578538550211002,0.3121735503137287,0.3163782694131095,-2.384185791015625e-07,6.307962682401158e-07,-9.522317538351573e-07,4.753945956320323e-07,0.3889774916182149,0.0034140040932829274,0.38511418230096295,0.3928408009354668,0.14023569940512437,0.001405762120131462,0.1386449298137144,0.14182646899653434,0.3207415890634174,0.003591008903876718,0.31667797994707886,0.3248051981797559,0.08527827200754955,0.0032435111899460456,0.08160789357262511,0.08894865044247398,0.26247914499039665,0.002516147808119698,0.2596318557062926,0.2653264342745007,0.9999999999999999,1.7554167342883506e-16,0.9999999999999997,1.0,0.720875,0.007266145814666798,0.7126525819655449,0.7290974180344552,0.6887593280555934,0.010040404963339437,0.6773975402592138,0.7001211158519729,0.7525000000000001,0.00264575131106453,0.7495060505459623,0.7554939494540378,0.14441666666666667,0.005149838185160115,0.13858907616019567,0.15024425717313766
homogeneous_returns,flat,flat,3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.39018793467702895,0.0025117789849266503,0.38734558918176815,0.39303028017228975,0.20316781207561915,0.0013524163012269288,0.20163740896110233,0.20469821519013598,0.31520427036712334,0.0033969108289820292,0.3113603038993325,0.3190482368349142,0.08301729653954719,0.004572741414767012,0.07784275250551663,0.08819184057357775,0.25908815405554814,0.001574336973035341,0.25730662406020094,0.26086968405089533,1.0,1.5700924586837752e-16,0.9999999999999998,1.0000000000000002,0.69925,0.007596257302119243,0.6906540256515041,0.7078459743484959,0.7189867758058677,0.011086204895669059,0.7064415539794882,0.7315319976322472,0.7624999999999998,0.0034641016151377574,0.7585799999999998,0.7664199999999999,0.14441666666666667,0.010972503512568734,0.13200011006760196,0.15683322326573138
homogeneous_returns,swedish_baseline_progressivity,swedish,3,0.34232345500701483,0.0009508424402060346,0.3412474754949475,0.34339943451908217,1.5894571940104166e-07,4.963078497567494e-07,-4.026794830886063e-07,7.205709218906896e-07,0.37858051580351004,0.002380056178198344,0.3758872286961783,0.3812738029108418,0.16550967095048752,0.0011871614086607222,0.1641662713511184,0.16685307054985665,0.3120097319293002,0.0033373997546369072,0.3082331085817035,0.3157863552768969,0.08292833781717623,0.004528883433651567,0.07780342376086379,0.08805325187348868,0.25907828068455235,0.001569791988079864,0.25730189382384866,0.26085466754525605,1.0,1.9229626863835638e-16,0.9999999999999998,1.0000000000000002,0.6899166666666666,0.00956093396762758,0.6790974513788351,0.7007358819544981,0.7324515360925155,0.010189823352084414,0.7209206654720869,0.743982406712944,0.7896666666666666,0.00557524289455928,0.7833576854141627,0.7959756479191705,0.13483333333333333,0.009827681991870379,0.12371226424004118,0.14595440242662547
homogeneous_returns,swedish_high_progressivity,swedish,3,0.3142759098634191,0.0018578538550211002,0.3121735503137287,0.3163782694131095,-2.384185791015625e-07,6.307962682401158e-07,-9.522317538351573e-07,4.753945956320323e-07,0.37222638710413564,0.002282533639846148,0.3696434571377925,0.37480931707047876,0.14023569940512437,0.001405762120131462,0.1386449298137144,0.14182646899653434,0.31106348866579553,0.0033840257789437985,0.3072341030047366,0.3148928743268545,0.08289519059350868,0.004528781246714953,0.07777039217260073,0.08801998901441663,0.2590812310847118,0.0015731201150912528,0.25730107809375735,0.2608613840756663,0.9999999999999999,1.7554167342883506e-16,0.9999999999999997,1.0,0.6813750000000001,0.007651592971401396,0.6727164074469347,0.6900335925530654,0.743160808755608,0.009501723216522196,0.7324085967402322,0.7539130207709838,0.8099999999999999,0.0018027756377319655,0.8079599673205232,0.8120400326794767,0.12433333333333334,0.007686568371733469,0.11563516238894636,0.1330315042777203
homogeneous_saving_rates,flat,flat,3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3855527785463839,0.0036039372881838585,0.381474539585972,0.38963101750679585,0.20316781207561915,0.0013524163012269288,0.20163740896110233,0.20469821519013598,0.32074711015059415,0.003603312646736892,0.316669578038521,0.3248246422626673,0.08502982921378123,0.0032359712919386215,0.08136798297665952,0.08869167545090294,0.2625046971233865,0.0023982072552485986,0.2597908701387815,0.26521852410799146,1.0,1.5700924586837752e-16,0.9999999999999998,1.0000000000000002,0.6999999999999998,0.004358898943540677,0.6950674415022896,0.7049325584977101,0.7128099861720999,0.00877840654221537,0.7028762840269001,0.7227436883172997,0.7578333333333332,0.006331139971074208,0.7506689740148426,0.7649976926518239,0.13183333333333336,0.008117624857883829,0.12264737605544929,0.14101929061121743
homogeneous_saving_rates,swedish_baseline_progressivity,swedish,3,0.34232345500701483,0.0009508424402060346,0.3412474754949475,0.34339943451908217,1.5894571940104166e-07,4.963078497567494e-07,-4.026794830886063e-07,7.205709218906896e-07,0.37289555643739036,0.003537477649277697,0.36889252363818736,0.37689858923659336,0.16550967095048752,0.0011871614086607222,0.1641662713511184,0.16685307054985665,0.3185245385299708,0.003585909167780497,0.3144667003082879,0.32258237675165374,0.08495526997025864,0.003204253706267389,0.08132931556012259,0.08858122438039469,0.2625125544637353,0.00244680277751257,0.2597437364689237,0.2652813724585469,1.0,1.9229626863835638e-16,0.9999999999999998,1.0000000000000002,0.6890833333333335,0.005742295563042121,0.6825853141907195,0.6955813524759474,0.7356679622886796,0.007700430605530074,0.7269541047500411,0.7443818198273181,0.7826666666666666,0.001258305739211822,0.7812427596784433,0.78409057365489,0.11425,0.004769696007084728,0.10885258086365962,0.11964741913634039
homogeneous_saving_rates,swedish_high_progressivity,swedish,3,0.3142759098634191,0.0018578538550211002,0.3121735503137287,0.3163782694131095,-2.384185791015625e-07,6.307962682401158e-07,-9.522317538351573e-07,4.753945956320323e-07,0.36590237886810767,0.0034443590901431123,0.36200471963826314,0.3698000380979522,0.14023569940512437,0.001405762120131462,0.1386449298137144,0.14182646899653434,0.3178238415185817,0.003583817187962017,0.31376837059491697,0.3218793124422464,0.08493280097495097,0.0032188174383887607,0.08129036615047998,0.08857523579942196,0.2625064378738355,0.002465706728407557,0.2597162280447935,0.2652966477028775,0.9999999999999999,1.7554167342883506e-16,0.9999999999999997,1.0,0.6749999999999999,0.003033665274877865,0.6715670845723593,0.6784329154276406,0.7539686292996864,0.00702737543343045,0.7460164053872387,0.7619208532121342,0.7976666666666667,0.001527525231651948,0.7959381091434379,0.7993952241898956,0.10075,0.00501871497497118,0.0950707893741002,0.10642921062589981
no_capital_tax,flat,flat,3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.43514733971807257,0.003941384954565572,0.43068724277565573,0.4396074366604894,0.20316781207561915,0.0013524163012269288,0.20163740896110233,0.20469821519013598,0.3492072664524375,0.004064560299084558,0.3446077834861222,0.3538067494187528,0.09428988456345655,0.002879787011835308,0.09103109878273243,0.09754867034418067,0.32884794536381357,0.0028478928999252206,0.32562525116831925,0.3320706395593079,1.0,1.5700924586837752e-16,0.9999999999999998,1.0000000000000002,0.7459166666666667,0.007842525634853392,0.7370420134653047,0.7547913198680286,0.6605478798614787,0.01101526735777609,0.6480829314160316,0.6730128283069258,0.6948333333333333,0.007112196097783949,0.6867851258034268,0.7028815408632398,0.15575,0.007378177281686859,0.14740080642616704,0.16409919357383296
