return_preset,transfer_policy,tax_scenario,year,wealth_gini,top_10_share,top_1_share,labour_tax_revenue,capital_tax_revenue,total_tax_revenue,total_transfers,universal_transfer_spending,means_tested_transfer_spending,unemployment_transfer_spending,transfer_spending_share,means_tested_recipient_count,means_tested_recipient_share,unemployment_rate,pre_tax_labour_income_gini,disposable_income_gini,capital_income_gini,capital_income_share,avg_tax_rate_income_decile_1,avg_tax_rate_income_decile_2,avg_tax_rate_income_decile_3,avg_tax_rate_income_decile_4,avg_tax_rate_income_decile_5,avg_tax_rate_income_decile_6,avg_tax_rate_income_decile_7,avg_tax_rate_income_decile_8,avg_tax_rate_income_decile_9,avg_tax_rate_income_decile_10,avg_return_wealth_decile_1,avg_return_wealth_decile_2,avg_return_wealth_decile_3,avg_return_wealth_decile_4,avg_return_wealth_decile_5,avg_return_wealth_decile_6,avg_return_wealth_decile_7,avg_return_wealth_decile_8,avg_return_wealth_decile_9,avg_return_wealth_decile_10,avg_return_class_low,avg_return_class_medium,avg_return_class_high
low_return_heterogeneity,no_transfers,swedish_low_progressivity,1.0,0.5714165783617098,0.4640242885166886,0.12620173806430846,1292438015.2545533,118931601.54630643,1411369616.8008597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0319,0.26925309451352564,0.2616265718373052,0.5868994960126526,0.08423480136455308,0.2919159579826299,0.29191595798263,0.2919159579826299,0.29191595798263,0.29191595798263,0.2919159579826299,0.29191595798263,0.29191595798263,0.2938160761877992,0.3294063148204488,0.0395613371603589,0.039407921711362294,0.03967050959605174,0.039633260251927635,0.03943538829013144,0.039483108268753106,0.03951698266915805,0.03998678503232264,0.03963364421771552,0.03958365007591705,0.03511099320697348,0.04008899513578043,0.045119822722651665
low_return_heterogeneity,no_transfers,swedish_low_progressivity,2.0,0.5617408617853787,0.45732333224106336,0.1240202794520654,1322537529.924854,123913532.22968891,1446451062.1545427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312,0.28544610848508145,0.2759371053395152,0.5765878133169184,0.08622902885548597,0.2919159579826299,0.29191595798263,0.29191595798263,0.29191595798263,0.29191595798263,0.29191595798263,0.29191595798262987,0.2919159579826299,0.2953988491663655,0.3371658249468929,0.03949286056101037,0.03945340401580764,0.039279067793548846,0.03926775112964167,0.0394695134900617,0.03944436801158767,0.039197874750102196,0.03950470710468829,0.03939465899584508,0.03935624558669964,0.034773512891043905,0.03996680903584249,0.04490632137572272
low_return_heterogeneity,no_transfers,swedish_low_progressivity,3.0,0.5530022463572191,0.4509271437757982,0.12193418509464994,1347516335.3531468,129943847.97406514,1477460183.3272119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0295,0.295086343926819,0.28424860008575226,0.5673815903681609,0.0889718911026703,0.2919159579826299,0.2919159579826299,0.29191595798263,0.29191595798262987,0.29191595798262987,0.2919159579826299,0.29191595798263,0.29191595798263,0.2965304560421641,0.34255432324064655,0.039332792339469624,0.03971138745021873,0.03908359809252272,0.03922081065568561,0.03964154240378969,0.0391892057057716,0.039257533546890475,0.0395344606882241,0.03957381089308945,0.03955949500575273,0.034894162718438024,0.03996576379944348,0.044849069295660654
low_return_heterogeneity,no_transfers,swedish_low_progressivity,4.0,0.5452102282800244,0.4449214934254448,0.11996970183244164,1355788914.771123,136233612.38367665,1492022527.1547995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0305,0.303249898199623,0.29178903366901476,0.5590187267587081,0.09260382869008515,0.29191595798263,0.2919159579826299,0.2919159579826299,0.2919159579826299,0.2919159579826299,0.2919159579826299,0.29191595798263,0.29191595798263,0.2971014058634791,0.3450919920864263,0.0391122655051831,0.03956482276139466,0.03934928040220576,0.03929786192300617,0.03947711329716778,0.03942454233806589,0.03958652420237845,0.03951661190412467,0.039396796160236607,0.039577858430833744,0.0350104094583813,0.03993113094240605,0.04486010161564507
low_return_heterogeneity,no_transfers,swedish_low_progressivity,5.0,0.5382125453660771,0.4392321833660581,0.11811893813355472,1372396529.4370756,142952573.94613504,1515349103.3832107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0295,0.3101464032774537,0.29784707540534017,0.5518769467774209,0.09599790510598717,0.2919159579826299,0.2919159579826299,0.2919159579826299,0.29191595798263,0.29191595798263,0.29191595798263,0.29191595798262987,0.2919159579826299,0.29882917050162877,0.34798548614774133,0.03950533506526271,0.03940837395210269,0.039371049600680365,0.03970195920920617,0.03929014739300781,0.03941248800551543,0.0399183030118356,0.039648532603018566,0.039263692036992835,0.03977484706421924,0.03502938428879687,0.040107374559493224,0.044886826614865705
low_return_heterogeneity,no_transfers,swedish_low_progressivity,6.0,0.5320076910746998,0.4338353568438673,0.11637859624216527,1379792313.0039706,149485235.13776755,1529277548.1417384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.31566448102849254,0.3029528389350451,0.5448072867430678,0.09964638442376723,0.29191595798263,0.2919159579826299,0.29191595798263,0.29191595798263,0.29191595798263,0.29191595798263,0.29191595798263,0.2919159579826299,0.29963094630067716,0.3495111509100047,0.039562399629270564,0.03935692288501913,0.03925442960594942,0.03927304684360683,0.039519215896560954,0.039796138339747315,0.039529647126015394,0.03959132393409088,0.039806781023310665,0.039584869504659836,0.03506806074809695,0.03997465560844282,0.04515139213439185
low_return_heterogeneity,no_transfers,swedish_low_progressivity,7.0,0.5264149541088958,0.42870115678654935,0.11467120397034138,1401820002.2654905,155778014.0369607,1557598016.3024511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0283,0.3210818153082189,0.3072091549621123,0.5379168569223851,0.10239094595909935,0.2919159579826299,0.29191595798263,0.29191595798263,0.29191595798263,0.2919159579826299,0.29191595798263,0.2919159579826299,0.29191643951780644,0.30089949286744383,0.35340912237848804,0.03916879351309431,0.03990592709252496,0.039061598211362264,0.03920598359524422,0.039825680796195216,0.03944151534483028,0.039618334509861935,0.039488966701685564,0.03955143709007708,0.03951771075841859,0.03496728804565133,0.04002016370397907,0.04494410747916083
low_return_heterogeneity,no_transfers,swedish_low_progressivity,8.0,0.5213169530003818,0.42390598010644615,0.11312913160003964,1408020273.1565192,163286928.21175194,1571307201.3682714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0321,0.3276035070073309,0.31341719519979905,0.5340072406200724,0.10656992106564676,0.2919159579826299,0.2919159579826299,0.2919159579826299,0.29191595798263,0.29191595798263,0.29191595798263004,0.2919159579826299,0.29194890033664306,0.30228609170654125,0.35449002239971594,0.039561460423664735,0.039285835794190406,0.039583746181703405,0.03910010917346058,0.039329785849733866,0.03982477734663312,0.03955616469960774,0.03962387439897404,0.03947720417799954,0.03968398871642234,0.03502086141517266,0.04002632185537846,0.04496864985864569
low_return_heterogeneity,no_transfers,swedish_low_progressivity,9.0,0.5165995536212911,0.4193515327164732,0.11160008106866409,1404154822.7421389,170016970.05927825,1574171792.8014169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0347,0.33053453935713906,0.31637078251102846,0.5280443591875634,0.11075831719319387,0.29191595798263,0.29191595798263,0.2919159579826299,0.2919159579826299,0.29191595798263,0.29191595798263,0.2919159579826299,0.291953300978215,0.3017244416491751,0.354750312773594,0.039346476038739184,0.03955291565270238,0.03920963145598231,0.03912886608282553,0.039305994638161694,0.039549355231294776,0.039792776375259825,0.0396838786468407,0.03963211231486466,0.039570560739424755,0.0349134279135289,0.03994210973021658,0.04521476643829959
low_return_heterogeneity,no_transfers,swedish_low_progressivity,10.0,0.512261246705003,0.4150398291948522,0.11019649205482206,1433437261.2391598,177820455.14611703,1611257716.3852768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276,0.32999496632300085,0.3149347968621119,0.5241838091511577,0.11352419219370423,0.29191595798263,0.29191595798263,0.29191595798263,0.29191595798262987,0.29191595798263,0.2919159579826299,0.29191595798263004,0.2920070382613512,0.30348350430983906,0.3574730605257919,0.03933899623675315,0.03918272785086883,0.039647009776904454,0.039317376357133796,0.03945307684214601,0.039460462547965425,0.03965642668519727,0.03962584809843422,0.03946123217518921,0.039666666986015627,0.0349960726429559,0.04000838998533686,0.044942103465241856
