return_preset,transfer_policy,tax_scenario,shorrocks_index,rank_correlation,top_20_persistence,bottom_40_to_top_40,seed
baseline_return_heterogeneity,universal_plus_safety_floor,flat,0.7282500000000001,0.6661486938614869,0.729,0.16025,1
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_low_progressivity,0.72775,0.6697182460331825,0.7355,0.15575,1
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_baseline_progressivity,0.72675,0.6773305614893056,0.7435,0.1505,1
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,0.7253750000000001,0.685723901429239,0.756,0.14325,1
high_return_heterogeneity,no_transfers,flat,0.7747499999999999,0.6286143420221434,0.642,0.1675,1
high_return_heterogeneity,no_transfers,swedish_low_progressivity,0.772,0.6332941201409412,0.6495,0.1645,1
high_return_heterogeneity,no_transfers,swedish_baseline_progressivity,0.768375,0.6427419565274196,0.6575,0.158,1
high_return_heterogeneity,no_transfers,swedish_high_progressivity,0.75875,0.653476807878768,0.669,0.151,1
high_return_heterogeneity,lump_sum_only,flat,0.811875,0.5545523980695239,0.6055,0.19525,1
high_return_heterogeneity,lump_sum_only,swedish_low_progressivity,0.812875,0.556190303237903,0.6065,0.19475,1
high_return_heterogeneity,lump_sum_only,swedish_baseline_progressivity,0.81025,0.5598093510540935,0.611,0.19325,1
high_return_heterogeneity,lump_sum_only,swedish_high_progressivity,0.809875,0.5638047624460476,0.616,0.189,1
high_return_heterogeneity,universal_plus_safety_floor,flat,0.809375,0.5610284341142844,0.607,0.1915,1
high_return_heterogeneity,universal_plus_safety_floor,swedish_low_progressivity,0.808875,0.5624648447966484,0.609,0.19075,1
high_return_heterogeneity,universal_plus_safety_floor,swedish_baseline_progressivity,0.80725,0.5654789743347898,0.613,0.19,1
high_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,0.807125,0.5686473669704737,0.6175,0.18775,1
low_return_heterogeneity,no_transfers,flat,0.6749999999999999,0.7563700224157002,0.7795,0.1385,2
low_return_heterogeneity,no_transfers,swedish_low_progressivity,0.6652499999999999,0.7637982758339826,0.794,0.134,2
low_return_heterogeneity,no_transfers,swedish_baseline_progressivity,0.648625,0.7813788240137882,0.8145,0.11525,2
low_return_heterogeneity,no_transfers,swedish_high_progressivity,0.6251249999999999,0.8032316773483167,0.8395,0.096,2
low_return_heterogeneity,lump_sum_only,flat,0.72375,0.6937015902730159,0.7485,0.156,2
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,0.723875,0.6981308183613082,0.756,0.15275,2
low_return_heterogeneity,lump_sum_only,swedish_baseline_progressivity,0.71675,0.7087027233070272,0.7725,0.1445,2
low_return_heterogeneity,lump_sum_only,swedish_high_progressivity,0.70625,0.7213145112011452,0.7895,0.1345,2
low_return_heterogeneity,universal_plus_safety_floor,flat,0.711875,0.7105186857011867,0.755,0.1505,2
low_return_heterogeneity,universal_plus_safety_floor,swedish_low_progressivity,0.710125,0.714552889937529,0.7615,0.14575,2
low_return_heterogeneity,universal_plus_safety_floor,swedish_baseline_progressivity,0.7015,0.7238846111428462,0.7805,0.1365,2
low_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,0.690375,0.7345450222574501,0.7965,0.126,2
baseline_return_heterogeneity,no_transfers,flat,0.69475,0.7183600388356004,0.749,0.14425,2
baseline_return_heterogeneity,no_transfers,swedish_low_progressivity,0.688375,0.7247710570797105,0.7625,0.1385,2
baseline_return_heterogeneity,no_transfers,swedish_baseline_progressivity,0.6808749999999999,0.7394419898424199,0.7765,0.1265,2
baseline_return_heterogeneity,no_transfers,swedish_high_progressivity,0.6693749999999999,0.7570430030144301,0.797,0.11125,2
baseline_return_heterogeneity,lump_sum_only,flat,0.749,0.650319094271191,0.707,0.1695,2
baseline_return_heterogeneity,lump_sum_only,swedish_low_progressivity,0.748125,0.653788200117882,0.7145,0.1675,2
baseline_return_heterogeneity,lump_sum_only,swedish_baseline_progressivity,0.741625,0.6618951140949512,0.732,0.16325,2
baseline_return_heterogeneity,lump_sum_only,swedish_high_progressivity,0.7311249999999999,0.6713802072298021,0.7445,0.1565,2
baseline_return_heterogeneity,universal_plus_safety_floor,flat,0.737625,0.663524398055244,0.716,0.16325,2
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_low_progressivity,0.737125,0.6666299146862992,0.7245,0.1625,2
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_baseline_progressivity,0.72725,0.6735981388119814,0.739,0.157,2
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,0.72075,0.6813906722379067,0.7505,0.15025,2
high_return_heterogeneity,no_transfers,flat,0.7853749999999999,0.6191257761832578,0.6365,0.17275,2
high_return_heterogeneity,no_transfers,swedish_low_progressivity,0.7845,0.6232079977360799,0.6415,0.16875,2
high_return_heterogeneity,no_transfers,swedish_baseline_progressivity,0.779875,0.6316793323367933,0.6515,0.16425,2
high_return_heterogeneity,no_transfers,swedish_high_progressivity,0.7731250000000001,0.6411486136114862,0.6605,0.15625,2
high_return_heterogeneity,lump_sum_only,flat,0.825125,0.5424107754841078,0.6005,0.20475,2
high_return_heterogeneity,lump_sum_only,swedish_low_progressivity,0.823125,0.5436451577164516,0.6035,0.20225,2
high_return_heterogeneity,lump_sum_only,swedish_baseline_progressivity,0.82175,0.5467536629355366,0.609,0.2015,2
high_return_heterogeneity,lump_sum_only,swedish_high_progressivity,0.822125,0.5503694112076941,0.6125,0.1955,2
high_return_heterogeneity,universal_plus_safety_floor,flat,0.819625,0.5489216258332164,0.603,0.20075,2
high_return_heterogeneity,universal_plus_safety_floor,swedish_low_progressivity,0.8186249999999999,0.5499633367836334,0.6065,0.20075,2
high_return_heterogeneity,universal_plus_safety_floor,swedish_baseline_progressivity,0.82,0.5523599704955996,0.61,0.19775,2
high_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,0.819875,0.5550694218546942,0.616,0.19375,2
