return_preset,scenario,year,wealth_gini,top_10_share,top_1_share,labour_tax_revenue,capital_tax_revenue,total_tax_revenue,total_transfers,pre_tax_labour_income_gini,disposable_income_gini,capital_income_gini,capital_income_share,avg_tax_rate_income_decile_1,avg_tax_rate_income_decile_2,avg_tax_rate_income_decile_3,avg_tax_rate_income_decile_4,avg_tax_rate_income_decile_5,avg_tax_rate_income_decile_6,avg_tax_rate_income_decile_7,avg_tax_rate_income_decile_8,avg_tax_rate_income_decile_9,avg_tax_rate_income_decile_10,avg_return_wealth_decile_1,avg_return_wealth_decile_2,avg_return_wealth_decile_3,avg_return_wealth_decile_4,avg_return_wealth_decile_5,avg_return_wealth_decile_6,avg_return_wealth_decile_7,avg_return_wealth_decile_8,avg_return_wealth_decile_9,avg_return_wealth_decile_10,avg_return_class_low,avg_return_class_medium,avg_return_class_high
low_return_heterogeneity,swedish_low_progressivity,1.0,0.5598729400507414,0.4566020539744125,0.12382975396032637,1337957731.5341573,118931601.54630643,1456889333.080464,1456889333.0804636,0.2456559284321045,0.16204583500857872,0.5868994960126526,0.08163392980222874,0.29191595798263,0.2919159579826299,0.2919159579826299,0.2919159579826299,0.2919159579826299,0.2919159579826299,0.2919159579826299,0.2919159579826299,0.29426628975013286,0.330643864659019,0.0395613371603589,0.039407921711362294,0.03967050959605174,0.039633260251927635,0.03943538829013144,0.039483108268753106,0.03951698266915805,0.03998678503232264,0.03963364421771552,0.03958365007591705,0.03511099320697348,0.04008899513578043,0.045119822722651665
low_return_heterogeneity,swedish_low_progressivity,2.0,0.5403520390103431,0.4434337713808558,0.11961631810487863,1369782846.2604926,126781114.95627868,1496563961.2167711,1496563961.2167706,0.2609831248425043,0.17041548143643803,0.5654558783673369,0.08529625850907797,0.2919159579826299,0.2919159579826299,0.29191595798263,0.29191595798263,0.29191595798263,0.2919159579826299,0.29191595798263,0.29191595798263,0.29573769102754827,0.33856166431395035,0.039427393933047054,0.03959215732711049,0.039327983175563935,0.03918613803374481,0.039703846379315566,0.039432044741223166,0.03961257140580036,0.03951772937296211,0.03935460572626905,0.03939721015494768,0.034860522846304365,0.03998156018169914,0.045084846413342476
low_return_heterogeneity,swedish_low_progressivity,3.0,0.5232689675027173,0.43141581884019853,0.11571725008555919,1383383664.5864153,135183999.78179896,1518567664.3682146,1518567664.3682146,0.27223695147888405,0.1768605259776168,0.5456082923421317,0.08994633527642633,0.2919159579826299,0.29191595798263,0.2919159579826299,0.29191595798263,0.2919159579826299,0.2919159579826299,0.2919159579826299,0.29191595798262987,0.2971365423687024,0.3420050300898207,0.03961230433389711,0.03938386925455981,0.03937542615103242,0.03944718978013102,0.039714880108567004,0.039344421284295036,0.039467058161860406,0.03957556679870008,0.03933929668389516,0.03940499860466799,0.03492966047212921,0.03996808182105168,0.045071003997869216
low_return_heterogeneity,swedish_low_progressivity,4.0,0.5081877619248203,0.4203247989696234,0.11208181041706569,1399581166.395858,143543676.29906428,1543124842.6949224,1543124842.6949227,0.2788618161096772,0.18012441494398135,0.5278964314972376,0.09431351030314183,0.2919159579826299,0.29191595798263,0.2919159579826299,0.2919159579826299,0.29191595798263,0.29191595798263,0.29191595798263,0.2919159579826299,0.29818896882231294,0.3455743081836351,0.03970091657216463,0.039577764237609434,0.0393076933195928,0.039170787174405045,0.03919810631803908,0.03972552335024941,0.0393868944529939,0.03953527122406656,0.03921824302668419,0.03932832682425801,0.03493790110809531,0.03991826801203276,0.04492465248937837
low_return_heterogeneity,swedish_low_progressivity,5.0,0.4949233709921288,0.4101425577445682,0.10872618217908332,1415746214.0718067,153088370.38285497,1568834584.4546618,1568834584.4546614,0.2868754319828144,0.18430780735937824,0.515033176874444,0.09926706838074158,0.29191595798263,0.29191595798263,0.29191595798263,0.2919159579826299,0.2919159579826299,0.29191595798263,0.2919159579826299,0.29191610792768824,0.29973943876137044,0.34862667633301103,0.039181304578609695,0.039529867209501066,0.03936260627991658,0.03895395779169503,0.039334712617995225,0.03944221094301394,0.039267060060189186,0.039558165924698824,0.03964957055997256,0.03939511224376666,0.03478570857203469,0.03986348602127199,0.0450538294033622
low_return_heterogeneity,swedish_low_progressivity,6.0,0.48312368071279876,0.40073812485988647,0.10569186697689514,1426586765.0797393,163215334.63534015,1589802099.7150793,1589802099.7150795,0.29298590763742993,0.18746633609399765,0.5022266636109365,0.10466987677377619,0.29191595798263,0.29191595798263,0.2919159579826299,0.2919159579826299,0.2919159579826299,0.29191595798263,0.2919159579826299,0.2919443338686394,0.30094408379045007,0.35053581700071906,0.039640040194195036,0.03947301465202403,0.03922513184542532,0.0394672330589519,0.0392859977120677,0.03954932814326351,0.03962389827533303,0.03984408394006175,0.03944244869882918,0.03947972540998981,0.03497363834588731,0.03999564471002658,0.04511906911919931
low_return_heterogeneity,swedish_low_progressivity,7.0,0.47253973714462294,0.39202111108259186,0.10281582132017375,1438510625.5962098,172937613.3923458,1611448238.9885557,1611448238.9885557,0.2987231086373554,0.19031170006310982,0.48984914332551366,0.10967262135865714,0.29191595798262987,0.2919159579826299,0.2919159579826299,0.2919159579826299,0.2919159579826299,0.2919159579826299,0.29191595798263004,0.2919912451357847,0.3015218023677583,0.35287965523074216,0.039302352848947376,0.03947485999365691,0.03943530152410838,0.03929322191469386,0.03960623412398352,0.03968273718769108,0.039486492637959995,0.03979902398171559,0.03948973220408556,0.03965533777793336,0.03499634657058642,0.04006301683260698,0.04501326128158325
low_return_heterogeneity,swedish_low_progressivity,8.0,0.46313472622245344,0.3840938395085202,0.10022532315029391,1442823193.4526668,183828981.8908229,1626652175.3434896,1626652175.343489,0.30203269438431923,0.19181064445990104,0.4816721722782622,0.11560693685776165,0.2919159579826299,0.2919159579826299,0.2919159579826299,0.29191595798263004,0.29191595798263,0.29191595798263,0.29191595798263,0.2919966476590865,0.3021372068485364,0.3537300566257773,0.03932875204717484,0.03950932079961263,0.03940309009036167,0.039284590492752305,0.039629553662954085,0.03956273670540099,0.03944759714806571,0.03962440745530546,0.03948993032477273,0.03984829255916304,0.035090920642973214,0.03995624786943669,0.04508942627089554
low_return_heterogeneity,swedish_low_progressivity,9.0,0.45465800439169723,0.3767592074212553,0.09787480597639812,1453031915.6534977,195199963.31592286,1648231878.9694204,1648231878.969421,0.3041145331549049,0.19236134663060822,0.47330179802893735,0.12133447728971852,0.29191595798263004,0.29191595798263,0.29191595798263,0.29191595798263,0.29191595798263,0.29191595798263,0.2919159579826299,0.2920398794955337,0.30312310854340985,0.3551565051217681,0.03963962185083305,0.03943778195252972,0.039167639077708406,0.03953227156495582,0.039339076172267604,0.039620287951388035,0.03967856065964536,0.040047072132424394,0.03991261580961304,0.03980841954682203,0.035225298885655,0.040067341416271655,0.04513723828100711
low_return_heterogeneity,swedish_low_progressivity,10.0,0.4469005472838685,0.3698987399093675,0.09561941455365934,1457990180.398329,204372921.8260284,1662363102.2243576,1662363102.2243576,0.3064961886333517,0.19332898396353237,0.46168597946940393,0.12608515007728172,0.29191595798263,0.2919159579826299,0.2919159579826299,0.2919159579826299,0.2919159579826299,0.29191595798263,0.29191595798263,0.29207451028249554,0.3045679200667827,0.355678010390044,0.039006757769230745,0.03960139044331322,0.039234117578690116,0.039541175453363685,0.0395346549881759,0.039561106464642434,0.03944926144242919,0.03978451798673136,0.03956551537370447,0.039422600231803426,0.03504405776655236,0.03988950174211583,0.04511328756096234
