return_preset,transfer_policy,tax_scenario,year,wealth_gini,top_10_share,top_1_share,labour_tax_revenue,capital_tax_revenue,total_tax_revenue,total_transfers,universal_transfer_spending,means_tested_transfer_spending,unemployment_transfer_spending,transfer_spending_share,means_tested_recipient_count,means_tested_recipient_share,unemployment_rate,pre_tax_labour_income_gini,disposable_income_gini,capital_income_gini,capital_income_share,avg_tax_rate_income_decile_1,avg_tax_rate_income_decile_2,avg_tax_rate_income_decile_3,avg_tax_rate_income_decile_4,avg_tax_rate_income_decile_5,avg_tax_rate_income_decile_6,avg_tax_rate_income_decile_7,avg_tax_rate_income_decile_8,avg_tax_rate_income_decile_9,avg_tax_rate_income_decile_10,avg_return_wealth_decile_1,avg_return_wealth_decile_2,avg_return_wealth_decile_3,avg_return_wealth_decile_4,avg_return_wealth_decile_5,avg_return_wealth_decile_6,avg_return_wealth_decile_7,avg_return_wealth_decile_8,avg_return_wealth_decile_9,avg_return_wealth_decile_10,avg_return_class_low,avg_return_class_medium,avg_return_class_high
low_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,1.0,0.5618069561077994,0.45795204736270884,0.12425766076552748,1290869954.3031394,118931601.54630643,1409801555.849446,1290869954.3031394,1195682191.687464,95187762.61567548,0.0,1.0,2307.0,0.2307,0.0319,0.26925309451352564,0.12392005806955719,0.5868994960126526,0.08423480136455308,0.21104919110268436,0.21104919110268439,0.21104919110268436,0.21104919110268436,0.21104919110268436,0.21639789045878768,0.2477350979331821,0.30370080946883804,0.3651949908410066,0.4528867901900795,0.0395613371603589,0.039407921711362294,0.03967050959605174,0.039633260251927635,0.03943538829013144,0.039483108268753106,0.03951698266915805,0.03998678503232264,0.03963364421771552,0.03958365007591705,0.03511099320697348,0.04008899513578043,0.045119822722651665
low_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,2.0,0.54346571354365,0.44584135304770695,0.12036024716748644,1348144687.5329967,126016390.2922737,1474161077.8252702,1348144687.5329962,1246030138.0073051,102114549.52569081,0.0,0.9999999999999997,2433.0,0.2433,0.0312,0.28544610848508145,0.12919530236934373,0.5671523434538783,0.0875642309959761,0.21104919110268439,0.21104919110268433,0.21104919110268433,0.21104919110268436,0.21104919110268436,0.21618388059029706,0.25308596585920884,0.3117282508662428,0.3762688248014212,0.4643094992616566,0.03946939356834022,0.03936577599034179,0.03942703003447548,0.03920048371593794,0.039433119122052815,0.03948290821797774,0.03919161093113522,0.03958213820487025,0.0393623698873399,0.03934562176652174,0.034773512891043905,0.03996680903584249,0.04490632137572272
low_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,3.0,0.5269312214203348,0.4346275480192852,0.11675019366805632,1390462139.0393143,134248502.80185768,1524710641.8411722,1390462139.0393145,1284977437.5013325,105484701.537982,0.0,1.0000000000000002,2524.0,0.2524,0.0295,0.295086343926819,0.132275275606758,0.5495067710059729,0.0916491419342087,0.21104919110268436,0.21104919110268436,0.21104919110268436,0.21104919110268433,0.21104919110268436,0.2171584075087002,0.2563696745042531,0.3163839593218552,0.3828284100820639,0.47182326378422407,0.03934151933094707,0.03965629581081621,0.03908856561299504,0.039235319665551806,0.039676589806506915,0.03910518851562821,0.039311358411557154,0.039559970675963056,0.03957318762281724,0.03955664132863204,0.034894162718438024,0.03996576379944348,0.044849069295660654
low_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,4.0,0.512216723464459,0.42439057041077605,0.11344354375972973,1409751418.714532,142847258.47845846,1552598677.19299,1409751418.714532,1297533550.6223514,112217868.09218064,0.0,1.0,2598.0,0.2598,0.0305,0.303249898199623,0.135077851912478,0.5335793921554342,0.09666484313885225,0.21104919110268439,0.21104919110268433,0.21104919110268433,0.21104919110268436,0.21104919110268433,0.21684730085944806,0.2577033881008115,0.32120870364209053,0.3860632352640565,0.47513969956824154,0.03909812961512565,0.039580956743096155,0.03926897817272034,0.039285268695446206,0.039454629996316715,0.03962895426966295,0.03939109703664107,0.039663811711813844,0.03938017022649278,0.0395516804572811,0.0350104094583813,0.03993113094240605,0.04486010161564507
low_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,5.0,0.4989510619405175,0.4149441750602755,0.11039953242792784,1439159674.2144604,151958164.44064638,1591117838.6551068,1439159674.2144604,1325085949.5651207,114073724.64933985,0.0,1.0,2663.0,0.2663,0.0295,0.3101464032774537,0.13732809377063115,0.5197086835638987,0.101432070908516,0.2110491911026843,0.21104919110268436,0.2110491911026843,0.2110491911026844,0.21104919110268433,0.2166811081318179,0.2593435868410704,0.32418952409997054,0.393166431967879,0.47901995162314864,0.03962643639843074,0.03931545950178555,0.03947996105169357,0.03938668616043004,0.039439365492797286,0.0394208020984227,0.039903871887725866,0.0397292706281422,0.0392667181111594,0.03972615661125408,0.03502938428879687,0.040107374559493224,0.044886826614865705
low_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,6.0,0.4870831291731972,0.40622643985264156,0.10760770775170436,1455691641.1887836,160952995.6863755,1616644636.875159,1455691641.1887834,1337498534.5651324,118193106.62365139,0.0,0.9999999999999999,2645.0,0.2645,0.031,0.31566448102849254,0.13912692461938292,0.5066061126070116,0.10647680886570804,0.21104919110268436,0.21104919110268433,0.21104919110268439,0.21104919110268436,0.21104919110268436,0.21647419476423593,0.2616928555620651,0.3276051189323583,0.39658954669811936,0.4809564526662815,0.03954090045139627,0.03917187607460745,0.03949220942794805,0.03916796731915868,0.03966912002413305,0.03951510993543976,0.03975251428585051,0.03961192216927805,0.03977200612220032,0.03958114897821883,0.03506806074809695,0.03997465560844282,0.04515139213439185
low_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,7.0,0.4762729394121752,0.39808109484891835,0.1049547109744575,1485721239.845808,169761656.98341596,1655482896.829224,1485721239.8458085,1368474163.127511,117247076.71829751,0.0,1.0000000000000002,2682.0,0.2682,0.0283,0.3210818153082189,0.14089627805549143,0.49423882968751154,0.11056597787019788,0.21104919110268433,0.21104919110268433,0.21104919110268439,0.21104919110268433,0.21104919110268436,0.21627567554720764,0.2599707367470443,0.32809541562272365,0.3999588579654637,0.48613414357801676,0.0394543953551117,0.03923742465504354,0.03948432648347219,0.03933885936145397,0.03945187249301016,0.03950806448650001,0.03966996178947842,0.03959623022315219,0.03948700173312524,0.039557811032947025,0.03496728804565133,0.04002016370397907,0.04494410747916083
low_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,8.0,0.4665041163542816,0.3906046230940663,0.10256956270654376,1501723829.700928,179940986.18226314,1681664815.8831909,1501723829.700928,1377956092.5816793,123767737.11924855,0.0,1.0,2725.0,0.2725,0.0321,0.3276035070073309,0.14305764232541862,0.485326998741451,0.11617650188946452,0.21104919110268433,0.21104919110268436,0.2110491911026843,0.21104919110268436,0.21104919110268436,0.21653858741395365,0.2620567116221123,0.33148453145830115,0.40432298528352956,0.4876570604603857,0.039438791508463494,0.039318104162681604,0.03953363895500363,0.03936706140696633,0.03903306297273741,0.0399643111811495,0.039661068629628565,0.039549901425229926,0.03946227974274875,0.039698726777780566,0.03502086141517266,0.04002632185537846,0.04496864985864569
low_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,9.0,0.4576284729089808,0.38367881638318657,0.1003045841945521,1499665590.9806895,189385107.87395856,1689050698.854648,1499665590.98069,1371251179.927503,128414411.05318706,0.0,1.0000000000000002,2783.0,0.2783,0.0347,0.33053453935713906,0.1442153968865436,0.47499292904824997,0.12183848514811849,0.21104919110268436,0.21104919110268436,0.21104919110268436,0.21104919110268439,0.21104919110268439,0.21612853374793595,0.26277129787097314,0.33352195205999935,0.4030029041714686,0.48774126582198735,0.03927170296152265,0.039426464463252237,0.03933024887141326,0.03899659575036737,0.03932631683058585,0.039712412499158294,0.03971368627726643,0.03973998427731204,0.039720599320188524,0.03953455592502914,0.0349134279135289,0.03994210973021658,0.04521476643829959
low_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,10.0,0.4493821631421888,0.37716972348618916,0.09821582439731287,1538867485.6782503,199948020.04187334,1738815505.7201238,1538867485.6782506,1418913440.0722804,119954045.60597003,0.0,1.0000000000000002,2731.0,0.2731,0.0276,0.32999496632300085,0.14362300595224298,0.46697334517050115,0.1258727148376293,0.21104919110268439,0.21104919110268439,0.21104919110268436,0.2110491911026843,0.21104919110268436,0.21743354807035725,0.26672486187465344,0.3357268516546715,0.40812745116911714,0.49113837597149285,0.03929377802681302,0.03925734087660706,0.03940686566777102,0.03930110268734698,0.03955482294222337,0.03958571861004683,0.03955201286399318,0.03976867844031163,0.03946751342883346,0.039621990012661465,0.0349960726429559,0.04000838998533686,0.044942103465241856
