decomposition,scenario,seed,year,wealth_gini,top_10_share,top_1_share,labour_tax_revenue,capital_tax_revenue,total_tax_revenue,total_transfers,universal_transfer_spending,means_tested_transfer_spending,unemployment_transfer_spending,transfer_spending_share,means_tested_recipient_count,means_tested_recipient_share,unemployment_rate,pre_tax_labour_income_gini,disposable_income_gini,capital_income_gini,capital_income_share,avg_tax_rate_income_decile_1,avg_tax_rate_income_decile_2,avg_tax_rate_income_decile_3,avg_tax_rate_income_decile_4,avg_tax_rate_income_decile_5,avg_tax_rate_income_decile_6,avg_tax_rate_income_decile_7,avg_tax_rate_income_decile_8,avg_tax_rate_income_decile_9,avg_tax_rate_income_decile_10,avg_return_wealth_decile_1,avg_return_wealth_decile_2,avg_return_wealth_decile_3,avg_return_wealth_decile_4,avg_return_wealth_decile_5,avg_return_wealth_decile_6,avg_return_wealth_decile_7,avg_return_wealth_decile_8,avg_return_wealth_decile_9,avg_return_wealth_decile_10,avg_return_class_low,avg_return_class_medium,avg_return_class_high
baseline,flat,0,1.0,0.562490049349148,0.45701622957114424,0.1290518158124296,1287120363.7599611,113493163.69197547,1400613527.4519365,1287120363.7599614,1132785531.137513,85749877.64952062,68584954.97292812,1.0000000000000002,2926.0,0.2926,0.0295,0.2682878143245333,0.15877700571980724,0.6193512918377684,0.08098483627670677,0.30000000000000004,0.3,0.29999999999999993,0.3,0.3,0.3,0.29999999999999993,0.3,0.30000000000000004,0.29999999999999993,0.03846692081303411,0.03836936747177101,0.038407081445093014,0.038551621623965915,0.037320835768893036,0.0379848265976086,0.03851854079789476,0.03717546843931977,0.03818583153482013,0.038124604491369736,0.020123444382014914,0.039939559300173816,0.06011835422994305
baseline,flat,0,2.0,0.5451935154329619,0.44523885856497436,0.1250403186773622,1301930641.5634205,121910494.57504304,1423841136.1384637,1301930641.5634208,1141001161.5090973,94992137.04746829,65937343.00685505,1.0000000000000002,2999.0,0.2999,0.0286,0.281697106918376,0.1674919402485151,0.6085978407825803,0.08557552884397532,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.3,0.29999999999999993,0.3,0.30000000000000004,0.3,0.3,0.3,0.03793036272326468,0.038164798419349145,0.03798776242779053,0.037667388534615084,0.03782072717503951,0.037751169171838024,0.03811839675225015,0.037751858650506974,0.038686836120235685,0.038239058939877384,0.01992715799427448,0.0399039087701035,0.060007800544709354
baseline,flat,0,3.0,0.5299042858909251,0.4345624167869757,0.12135317532519266,1312078138.0791337,129485859.96318589,1441563998.0423195,1312078138.0791335,1141644563.2002068,102011764.80018516,68421810.07874158,0.9999999999999998,3105.0,0.3105,0.0304,0.2938462951675438,0.174721017520167,0.594192933124307,0.08970917632197259,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.03851477295109295,0.03826052306161012,0.03752558633161692,0.03826560536153875,0.0379792993903377,0.03869129616409166,0.037819858965211665,0.037561900403307515,0.037094502213885036,0.039051216961363225,0.019888875080935304,0.04006524229430873,0.05998502929284133
baseline,flat,0,4.0,0.5162896641299812,0.42448719903379056,0.1177779310296425,1323651709.3955123,136846569.23778868,1460498278.6333008,1323651709.3955126,1143836718.2297583,108980623.68144098,70834367.48431304,1.0000000000000002,3186.0,0.3186,0.0318,0.30521782093752114,0.18160025098679555,0.5789472385895438,0.09360904657394593,0.30000000000000004,0.3,0.3,0.3,0.3,0.3,0.30000000000000004,0.30000000000000004,0.3,0.3,0.03788672164349292,0.03735205337188481,0.037843036120651416,0.03826431501301168,0.037489669381959495,0.037686036399676846,0.03821151215457655,0.03840084592206149,0.038430516215415676,0.03860700472652809,0.01994299015377048,0.0399633160743472,0.05986393051028295
baseline,flat,0,5.0,0.5042393386069055,0.41527150335274227,0.11469863110496632,1341200187.2122462,146166732.22659364,1487366919.4388402,1341200187.212246,1168488045.5381424,112650106.09666896,60062035.57743462,0.9999999999999998,3225.0,0.3225,0.0267,0.310133423594126,0.18676485234049323,0.5720233900997469,0.09822884335849236,0.3,0.3,0.30000000000000004,0.3,0.3,0.3,0.3,0.3,0.29999999999999993,0.3,0.038120208493466735,0.03725277505853195,0.037767953011736834,0.03851178784978649,0.037296344217572795,0.03825347518078455,0.038016264578165336,0.03781723035846892,0.03776604402014245,0.03902225810322564,0.01979603026199585,0.039949800885658734,0.05994224138265695
baseline,flat,0,6.0,0.4937272595412583,0.40690778809469685,0.11183788288498255,1341163924.8935666,155795638.5030159,1496959563.3965826,1341163924.8935666,1151710355.4595687,115238674.79100902,74214894.64298852,1.0,3272.0,0.3272,0.033,0.3200414118916377,0.19110190554598971,0.5634705935548867,0.10402120591828157,0.30000000000000004,0.3,0.3,0.3,0.3,0.3,0.30000000000000004,0.29999999999999993,0.3,0.3,0.03775851900951344,0.036729336658573704,0.03720762326700033,0.038372322637729196,0.038284191599748836,0.03775994943011157,0.03850993355506096,0.03890366201962515,0.03751656268631406,0.03940632905858232,0.02006363845243144,0.039917339895834236,0.059936595198506644
baseline,flat,0,7.0,0.4843439765786415,0.3992068234631409,0.10928575883561162,1349419558.3907385,165870404.67203707,1515289963.0627756,1349419558.3907387,1161857589.1667016,118904653.51943845,68657315.70459856,1.0000000000000002,3337.0,0.3337,0.0305,0.32253473061799753,0.1934156967238847,0.5571003351506514,0.10935757964762452,0.29999999999999993,0.29999999999999993,0.3,0.30000000000000004,0.3,0.3,0.3,0.3,0.30000000000000004,0.3,0.03713540403363184,0.036731684678473514,0.03742895440941664,0.038471335057990746,0.03764204207798737,0.03812069128217449,0.03840785256631575,0.039256658928964544,0.038507216698380864,0.03949832583951023,0.01995635677605951,0.04008043841476988,0.06006345117584993
baseline,flat,0,8.0,0.4758827459126125,0.3920330547200178,0.10677375034533912,1357196917.9227107,174797851.54343155,1531994769.466142,1357196917.9227107,1174280104.2136436,121572369.02509639,61344444.683970734,1.0,3350.0,0.335,0.027,0.324282355236446,0.19569729883975517,0.5471760743303369,0.11404541811635592,0.3,0.3,0.3,0.3,0.3,0.3,0.30000000000000004,0.29999999999999993,0.30000000000000004,0.30000000000000004,0.03739163187077328,0.03681056394869413,0.03769245943192852,0.038194290967132824,0.03785238752208338,0.03729577071352444,0.03867287049285226,0.03956712616213895,0.03896762618365441,0.03971403304710915,0.020163504219940117,0.040141623211365426,0.060080911157766155
baseline,flat,0,9.0,0.4685096321248907,0.38565238809922897,0.10467081172279195,1353557849.2184463,185659129.08368233,1539216978.3021286,1353557849.2184463,1164945860.1094384,122654136.87502804,65957852.233979896,1.0,3377.0,0.3377,0.0295,0.3280052368212105,0.1972727559096732,0.5463919388732585,0.12055664005643131,0.29999999999999993,0.3,0.3,0.3,0.3,0.3,0.29999999999999993,0.29999999999999993,0.3,0.3,0.036769094796602585,0.03592043277599265,0.037235729545360786,0.03814772177540934,0.037441882623651605,0.03822212050227312,0.038340972521920307,0.03966701007955437,0.0386855933076868,0.039905378661564066,0.019940113787028813,0.03995557039484692,0.05996858810363078
baseline,flat,0,10.0,0.46173565779590486,0.37965982818423444,0.10256031992817727,1361397893.3950145,195079165.53438866,1556477058.9294033,1361397893.3950143,1174095809.7254765,124371434.0167036,62930649.652834035,0.9999999999999998,3406.0,0.3406,0.0283,0.3280859031769485,0.19780024755227066,0.5387278180956545,0.1252448843832124,0.29999999999999993,0.29999999999999993,0.3,0.3,0.3,0.29999999999999993,0.3,0.30000000000000004,0.30000000000000004,0.29999999999999993,0.035406490179834195,0.035690026140110465,0.03796798503494983,0.03801288501859827,0.038114552232130054,0.037942757020774605,0.0386098088013013,0.03943183016988553,0.03888319987963451,0.04019409212166627,0.019929227724846905,0.03997959804197843,0.05988449665378931
