return_preset,scenario,seed,year,wealth_gini,top_10_share,top_1_share,labour_tax_revenue,capital_tax_revenue,total_tax_revenue,total_transfers,universal_transfer_spending,means_tested_transfer_spending,unemployment_transfer_spending,transfer_spending_share,means_tested_recipient_count,means_tested_recipient_share,unemployment_rate,pre_tax_labour_income_gini,disposable_income_gini,capital_income_gini,capital_income_share,avg_tax_rate_income_decile_1,avg_tax_rate_income_decile_2,avg_tax_rate_income_decile_3,avg_tax_rate_income_decile_4,avg_tax_rate_income_decile_5,avg_tax_rate_income_decile_6,avg_tax_rate_income_decile_7,avg_tax_rate_income_decile_8,avg_tax_rate_income_decile_9,avg_tax_rate_income_decile_10,avg_return_wealth_decile_1,avg_return_wealth_decile_2,avg_return_wealth_decile_3,avg_return_wealth_decile_4,avg_return_wealth_decile_5,avg_return_wealth_decile_6,avg_return_wealth_decile_7,avg_return_wealth_decile_8,avg_return_wealth_decile_9,avg_return_wealth_decile_10,avg_return_class_low,avg_return_class_medium,avg_return_class_high
low_return_heterogeneity,flat,0,1.0,0.56253547734494,0.45703261934711387,0.1291486076551809,1287120363.7599611,118263945.90815753,1405384309.6681187,1287120363.7599614,1132785531.137513,85749877.64952062,68584954.97292812,1.0000000000000002,2926.0,0.2926,0.0295,0.2682878143245333,0.15877700571980724,0.5854472515690654,0.08415060926365794,0.30000000000000004,0.3,0.29999999999999993,0.3,0.3,0.3,0.29999999999999993,0.3,0.30000000000000004,0.29999999999999993,0.03960846040651706,0.03952968373588551,0.039698540722546506,0.039735810811982956,0.039230417884446526,0.0393824132988043,0.03978927039894738,0.039232734219659886,0.039572915767410066,0.039572302245684865,0.03506172219100746,0.039969779650086905,0.045059177114971524
low_return_heterogeneity,flat,0,2.0,0.5452150425241258,0.44521062058912514,0.12515227092027562,1301930641.5634205,126344147.5790978,1428274789.1425185,1301930641.5634208,1141001161.5090973,94992137.04746829,65937343.00685505,1.0000000000000002,2999.0,0.2999,0.0286,0.281697106918376,0.1674919402485151,0.5679672290316535,0.08845927166084759,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.3,0.29999999999999993,0.3,0.30000000000000004,0.3,0.3,0.3,0.03944866869199848,0.039551383142595216,0.03944890215797491,0.03924728749693979,0.03951103438299582,0.03932164880867622,0.03961950123181908,0.039360060767293766,0.0398950269566363,0.03945566582045402,0.03496357899713725,0.03995195438505175,0.04500390027235468
low_return_heterogeneity,flat,0,3.0,0.5299034909868259,0.43439358182346144,0.12147946526906252,1312078138.0791337,134083279.97925857,1446161418.058392,1312078138.0791335,1141644563.2002068,102011764.80018516,68421810.07874158,0.9999999999999998,3105.0,0.3105,0.0304,0.2938462951675438,0.174721017520167,0.5499997627710054,0.09271667623333361,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.039783423590788354,0.039668782265290775,0.03944205475361366,0.03964690286653835,0.039494296413227235,0.03965632801966813,0.039392851935675516,0.039397979466935185,0.03909243336929567,0.0396072282209949,0.03494443754046766,0.040032621147154356,0.044992514646420664
low_return_heterogeneity,flat,0,4.0,0.5162676012984526,0.4242825127832223,0.11796562135472803,1323651709.3955123,141917415.1943233,1465569124.5898356,1323651709.3955126,1143836718.2297583,108980623.68144098,70834367.48431304,1.0000000000000002,3186.0,0.3186,0.0318,0.30521782093752114,0.18160025098679555,0.533686218642635,0.09683433746875728,0.30000000000000004,0.3,0.3,0.3,0.3,0.3,0.30000000000000004,0.30000000000000004,0.3,0.3,0.0396150332156911,0.03941508571456606,0.03974327330019201,0.03932835779247816,0.03929767379252231,0.039387789715146775,0.03954281035599643,0.03946172953933396,0.03972035220576418,0.03937374984293851,0.03497149507688524,0.0399816580371736,0.044931965255141475
low_return_heterogeneity,flat,0,5.0,0.5041106322981204,0.41495747220949164,0.11481326236267761,1341200187.2122462,150901754.86027837,1492101942.072525,1341200187.212246,1168488045.5381424,112650106.09666896,60062035.57743462,0.9999999999999998,3225.0,0.3225,0.0267,0.310133423594126,0.18676485234049323,0.5221555015781727,0.10113367632956521,0.3,0.3,0.30000000000000004,0.3,0.3,0.3,0.3,0.3,0.29999999999999993,0.3,0.03982187444212782,0.03937751554557517,0.03974708667120471,0.03965651055077451,0.039085159362745855,0.03963273754954493,0.039390256597394015,0.03908866240257837,0.03935754220802246,0.03955482510597301,0.034898015130997925,0.03997490044282937,0.04497112069132848
low_return_heterogeneity,flat,0,6.0,0.4934410196044601,0.40643764516133185,0.11189571156659286,1341163924.8935666,160142683.9979452,1501306608.891512,1341163924.8935666,1151710355.4595687,115238674.79100902,74214894.64298852,1.0,3272.0,0.3272,0.033,0.3200414118916377,0.19110190554598971,0.5108936655366072,0.10666887300002385,0.30000000000000004,0.3,0.3,0.3,0.3,0.3,0.30000000000000004,0.29999999999999993,0.3,0.3,0.039759292331066745,0.03951424487027642,0.039358828377098205,0.039351024126152566,0.039831562844798135,0.03916034086999377,0.039659519280751086,0.03958172281237286,0.03916700689933076,0.03964067254928925,0.035031819226215725,0.03995866994791712,0.044968297599253325
low_return_heterogeneity,flat,0,7.0,0.48384721689603705,0.3985734641746305,0.10921236293398595,1349419558.3907385,169676462.48009485,1519096020.8708334,1349419558.3907387,1161857589.1667016,118904653.51943845,68657315.70459856,1.0000000000000002,3337.0,0.3337,0.0305,0.32253473061799753,0.1934156967238847,0.5009094665628779,0.11169567963375124,0.29999999999999993,0.29999999999999993,0.3,0.30000000000000004,0.3,0.3,0.3,0.3,0.30000000000000004,0.3,0.03950048333766834,0.039445742089475724,0.03944908084318112,0.039709195912800976,0.03945807160642808,0.03952082874636622,0.03940311861873913,0.0397240023939698,0.03952428588612128,0.039665273351672324,0.03497817838802976,0.04004021920738494,0.04503172558792496
low_return_heterogeneity,flat,0,8.0,0.4751722206484734,0.3912719012701653,0.10662996186672814,1357196917.9227107,178855138.2706112,1536052056.1933217,1357196917.9227107,1174280104.2136436,121572369.02509639,61344444.683970734,1.0,3350.0,0.335,0.027,0.324282355236446,0.19569729883975517,0.4901016960311211,0.11643820113353055,0.3,0.3,0.3,0.3,0.3,0.3,0.30000000000000004,0.29999999999999993,0.30000000000000004,0.30000000000000004,0.039833362290236,0.03965243808171505,0.039668767723502106,0.039259701534369286,0.03942913951374979,0.03924940798154049,0.03965263649292401,0.039691941922131505,0.039835569680594624,0.03960641494918283,0.03508175210997006,0.04007081160568272,0.045040455578883073
low_return_heterogeneity,flat,0,9.0,0.46747635011610855,0.3846353063782449,0.10433985874279264,1353557849.2184463,189109664.97523087,1542667514.1936774,1353557849.2184463,1164945860.1094384,122654136.87502804,65957852.233979896,1.0,3377.0,0.3377,0.0295,0.3280052368212105,0.1972727559096732,0.4840739638699778,0.12258614590330237,0.29999999999999993,0.3,0.3,0.3,0.3,0.3,0.29999999999999993,0.29999999999999993,0.3,0.3,0.03960646452044047,0.03922523756501718,0.039395993422359915,0.03945737316695403,0.039462631428811165,0.03951886844831544,0.0393803372612891,0.03977263412069921,0.03955988779387912,0.0395885405672422,0.03497005689351441,0.03997778519742346,0.044984294051815386
low_return_heterogeneity,flat,0,10.0,0.4603761413418852,0.3784015510155239,0.10210576127827994,1361397893.3950145,198640638.92318305,1560038532.3181973,1361397893.3950143,1174095809.7254765,124371434.0167036,62930649.652834035,0.9999999999999998,3406.0,0.3406,0.0283,0.3280859031769485,0.19780024755227066,0.47496689012863746,0.1273305978077385,0.29999999999999993,0.29999999999999993,0.3,0.3,0.3,0.29999999999999993,0.3,0.30000000000000004,0.30000000000000004,0.29999999999999993,0.039141850494314644,0.039430832607176905,0.0395072390170701,0.039644291342460454,0.0395421392085062,0.03922803350685146,0.039528090864701285,0.039550022519487096,0.03973247491062033,0.03962183882825404,0.03496461386242346,0.03998979902098922,0.044942248326894654
low_return_heterogeneity,flat,0,11.0,0.4538598519074071,0.37255673601708256,0.10003083576253388,1361163497.4709404,209266558.13273552,1570430055.6036758,1361163497.4709404,1166847343.708971,125637811.14498478,68678342.6169843,1.0,3379.0,0.3379,0.0308,0.33127186672473186,0.1989228635226803,0.4682597400525286,0.13325430023834656,0.3,0.3,0.3,0.30000000000000004,0.3,0.30000000000000004,0.3,0.30000000000000004,0.3,0.29999999999999993,0.03939258022568958,0.039169693197919075,0.03971948005992816,0.03939585559395445,0.03969977616678378,0.03951022662859652,0.03935520190198771,0.039839132585475966,0.039765726441543865,0.03964222799344077,0.034875653167930905,0.040085738326705415,0.04511482362436626
low_return_heterogeneity,flat,0,12.0,0.4477969788216043,0.3671129928913332,0.09809361483629918,1367181518.5588248,219197863.80140758,1586379382.3602324,1367181518.558825,1176443038.8272502,124441773.50588587,66296706.22568883,1.0000000000000002,3337.0,0.3337,0.0299,0.3309559359878915,0.19924746221674727,0.46113254716537866,0.13817493232626524,0.29999999999999993,0.3,0.30000000000000004,0.3,0.30000000000000004,0.3,0.3,0.3,0.3,0.3,0.0393329617127275,0.03941548435567759,0.03950898756171618,0.03963346222672915,0.0394668650275302,0.03927255681712215,0.03924125764116691,0.0397330244985321,0.03927194686939779,0.039581878639410976,0.034923348842026296,0.03991655022811005,0.04495250094598524
low_return_heterogeneity,flat,0,13.0,0.44225510472128726,0.3621256359991508,0.09637180939635764,1368548545.2374833,231145388.03552747,1599693933.2730107,1368548545.2374835,1180426908.5113606,125715271.87081668,62406364.85530628,1.0000000000000002,3328.0,0.3328,0.0278,0.32946775819107876,0.19871804944406657,0.45729789161275747,0.1444935079316071,0.3,0.3,0.3,0.3,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.30000000000000004,0.29999999999999993,0.2999999999999999,0.039474257216274004,0.03972011498782997,0.039477379531102516,0.03945168987876332,0.039580880821075866,0.03941684486751046,0.039216195825042446,0.03971440238110967,0.03923385174965071,0.03975944792653656,0.034873299777799405,0.040055437796808716,0.04497312243385727
low_return_heterogeneity,flat,0,14.0,0.43723103286426523,0.3574911225630751,0.09476084854711432,1362075110.8989584,242552654.0751502,1604627764.9741085,1362075110.8989587,1165900547.9513876,125879387.42995228,70295175.51761846,1.0000000000000002,3403.0,0.3403,0.0312,0.33241642646724046,0.1994972291738799,0.4519910880307294,0.1511582058902389,0.3,0.30000000000000004,0.3,0.3,0.29999999999999993,0.3,0.29999999999999993,0.29999999999999993,0.3,0.3,0.03967315985286841,0.03901717256738597,0.03950677393628836,0.03923356878883053,0.039457699679446054,0.039519129068552046,0.039513148663451486,0.03974579585475946,0.039566290059423546,0.039741696296687445,0.034989828679125624,0.03996635851083333,0.044986588638334914
low_return_heterogeneity,flat,0,15.0,0.43249071287093255,0.35302501504418243,0.09316314444530904,1371810584.1874824,253175919.77836132,1624986503.9658432,1371810584.1874824,1178524939.5441632,126045478.4510084,67240166.19231096,1.0,3348.0,0.3348,0.0297,0.3342769538222652,0.20143185101131644,0.4441507363949464,0.1558018599911295,0.3,0.3,0.29999999999999993,0.3,0.3,0.3,0.3,0.30000000000000004,0.30000000000000004,0.29999999999999993,0.039477250748771016,0.03985599178639967,0.039292670568188484,0.039340763603104345,0.039649086440824474,0.03920442469604706,0.039323906383571715,0.039922864963698027,0.039780420640728946,0.039488432696840756,0.0351412909285171,0.04004797645927159,0.044740147415549526
low_return_heterogeneity,flat,0,16.0,0.42812566732307844,0.34890279216024084,0.09174604287391588,1376592307.217164,266523108.63439006,1643115415.8515544,1376592307.217164,1187202434.184184,126590399.53596507,62799473.49701473,1.0,3373.0,0.3373,0.0278,0.33373774912941845,0.20173428983923447,0.44235473455972163,0.16220595708808616,0.3,0.29999999999999993,0.3,0.3,0.3,0.3,0.29999999999999993,0.30000000000000004,0.3,0.3,0.0393784637884604,0.03948793467346144,0.039584367617749895,0.039479041826185356,0.039426397590749326,0.03958162203274296,0.03949301837118366,0.03991847869934432,0.039552953111557515,0.03968158261709777,0.03502326618206032,0.040055110648119306,0.04501932747180136
low_return_heterogeneity,flat,0,17.0,0.4240594320340221,0.3450458759756561,0.09038085208722632,1377784485.9906151,279449777.2172244,1657234263.2078397,1377784485.9906156,1183242020.0575976,127476985.88142863,67065480.0515891,1.0000000000000004,3356.0,0.3356,0.03,0.33619970903392415,0.20264043832737966,0.4382406416494713,0.1686241851386207,0.30000000000000004,0.3,0.29999999999999993,0.29999999999999993,0.3,0.3,0.3,0.3,0.30000000000000004,0.30000000000000004,0.03935145438756002,0.0394747182489069,0.03947218712216225,0.03945720061403285,0.03956420972563335,0.03940320539733119,0.03967902261208778,0.04021611126118774,0.03966562293285449,0.039954123523731525,0.035194169801833756,0.04010100208598443,0.044977351420322345
low_return_heterogeneity,flat,0,18.0,0.4202944652427436,0.34143950299322884,0.08906247561566433,1373868420.9122446,291033061.99985874,1664901482.9121032,1373868420.9122448,1180638816.5895033,127131666.6376288,66097937.685112655,1.0000000000000002,3341.0,0.3341,0.0296,0.3355056604726514,0.2022896309856692,0.4337005540334302,0.174804974941105,0.3,0.3,0.29999999999999993,0.3,0.30000000000000004,0.3,0.30000000000000004,0.3,0.3,0.3,0.039409243576022844,0.0394358530999025,0.03907922718015623,0.039395814745643166,0.039585706977195684,0.039557344630234,0.03957687065137485,0.03955374544397955,0.03975212808550412,0.03985302619893282,0.03500080629855853,0.03993729631148002,0.045153364694787555
low_return_heterogeneity,flat,0,19.0,0.41679423919824443,0.3381302541914711,0.08793195371319298,1371306119.0503676,304654049.34528035,1675960168.3956478,1371306119.0503678,1178518895.2967424,126043452.6296505,66743771.12397503,1.0000000000000002,3353.0,0.3353,0.0302,0.3346447552764562,0.2016733090846181,0.4311640660892764,0.1817788125817558,0.3,0.3,0.30000000000000004,0.3,0.3,0.30000000000000004,0.30000000000000004,0.3,0.3,0.3,0.03926627723359205,0.03941032086181649,0.039397347308013295,0.0394011377498324,0.03947748087124202,0.03959963923940626,0.03963296920457106,0.039729249411620676,0.039528057546393554,0.03957902891741824,0.035001830324621286,0.039962062659636206,0.04500280206499171
