return_preset,scenario,tax_system,transfer_policy,calibrated_rate,first_year_revenue_difference,final_gini,final_pre_tax_labour_income_gini,final_disposable_income_gini,final_capital_income_gini,final_capital_income_share,final_transfer_spending_share,final_means_tested_recipient_count,final_means_tested_recipient_share,final_unemployment_rate,final_top_10_share,final_top_1_share,shorrocks_index,top_20_persistence,seed
low_return_heterogeneity,flat,flat,swedish_transfer,0.3,0.0,0.3893716279349375,0.3388846381998927,0.20440271334970794,0.40123013809662966,0.25616035043710733,1.0,3399.0,0.3399,0.0304,0.31231474588894753,0.0783211792878039,0.69225,0.7645,0
low_return_heterogeneity,swedish_low_progressivity,swedish,swedish_transfer,0.33207943526635775,9.5367431640625e-07,0.38480711877338125,0.3388846381998927,0.19064049957015072,0.396970727806645,0.25615778992498817,0.9999999999999997,3315.0,0.3315,0.0304,0.3105959954809311,0.07827971567783067,0.6876249999999999,0.776,0
low_return_heterogeneity,swedish_baseline_progressivity,swedish,swedish_transfer,0.34175190177455184,7.152557373046875e-07,0.377707861730479,0.3388846381998927,0.16655562029930815,0.3903902257408782,0.2561564658267711,0.9999999999999999,3047.0,0.3047,0.0304,0.3090230956866933,0.07822630568415012,0.68125,0.7915,0
low_return_heterogeneity,swedish_high_progressivity,swedish,swedish_transfer,0.3133020939398697,-9.5367431640625e-07,0.37132445691794413,0.3388846381998927,0.14144380608941587,0.38452313758548273,0.25615720146333026,1.0,2682.0,0.2682,0.0304,0.3080939488730163,0.07818265982061849,0.6701250000000001,0.8125,0
baseline_return_heterogeneity,flat,flat,swedish_transfer,0.3,0.0,0.4058104513009182,0.3388846381998927,0.20440271334970794,0.509420214096723,0.26313544003729417,1.0,3399.0,0.3399,0.0304,0.3242415134688094,0.08317322229370423,0.718875,0.7175,0
baseline_return_heterogeneity,swedish_low_progressivity,swedish,swedish_transfer,0.33207943526635775,9.5367431640625e-07,0.40151511191050226,0.3388846381998927,0.19064049957015072,0.5066241551230226,0.26313530421265174,0.9999999999999997,3315.0,0.3315,0.0304,0.322551854104394,0.08306511960168701,0.7184999999999999,0.7255,0
baseline_return_heterogeneity,swedish_baseline_progressivity,swedish,swedish_transfer,0.34175190177455184,7.152557373046875e-07,0.3948855356447949,0.3388846381998927,0.16655562029930815,0.5023814231433728,0.2631299567611571,0.9999999999999999,3047.0,0.3047,0.0304,0.320821522165724,0.08293005753375601,0.717625,0.7445,0
baseline_return_heterogeneity,swedish_high_progressivity,swedish,swedish_transfer,0.3133020939398697,-9.5367431640625e-07,0.3889721971627782,0.3388846381998927,0.14144380608941587,0.49864241240469376,0.26311891246824276,1.0,2682.0,0.2682,0.0304,0.3195910511987418,0.08284950079103442,0.7125,0.7535,0
high_return_heterogeneity,flat,flat,swedish_transfer,0.3,0.0,0.45950017349243,0.3388846381998927,0.20440271334970794,0.6695856626832846,0.3060512392474285,1.0,3399.0,0.3399,0.0304,0.3629015449963168,0.09894375164362056,0.80775,0.603,0
high_return_heterogeneity,swedish_low_progressivity,swedish,swedish_transfer,0.33207943526635775,9.5367431640625e-07,0.4560100927383699,0.3388846381998927,0.19064049957015072,0.6680074515222196,0.306047966552607,0.9999999999999997,3315.0,0.3315,0.0304,0.36132694230692697,0.09878434168295042,0.808875,0.605,0
