decomposition,scenario,year,wealth_gini,top_10_share,top_1_share,labour_tax_revenue,capital_tax_revenue,total_tax_revenue,total_transfers,universal_transfer_spending,means_tested_transfer_spending,unemployment_transfer_spending,transfer_spending_share,means_tested_recipient_count,means_tested_recipient_share,unemployment_rate,pre_tax_labour_income_gini,disposable_income_gini,capital_income_gini,capital_income_share,avg_tax_rate_income_decile_1,avg_tax_rate_income_decile_2,avg_tax_rate_income_decile_3,avg_tax_rate_income_decile_4,avg_tax_rate_income_decile_5,avg_tax_rate_income_decile_6,avg_tax_rate_income_decile_7,avg_tax_rate_income_decile_8,avg_tax_rate_income_decile_9,avg_tax_rate_income_decile_10,avg_return_wealth_decile_1,avg_return_wealth_decile_2,avg_return_wealth_decile_3,avg_return_wealth_decile_4,avg_return_wealth_decile_5,avg_return_wealth_decile_6,avg_return_wealth_decile_7,avg_return_wealth_decile_8,avg_return_wealth_decile_9,avg_return_wealth_decile_10,avg_return_class_low,avg_return_class_medium,avg_return_class_high
no_transfers,flat,7.0,0.5279266829718743,0.4292357068562603,0.11512834826134458,1365626174.3683996,152302911.2110305,1517929085.5794303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0283,0.3210818153082189,0.32108181530821933,0.5887285696337723,0.10027196959187044,0.3,0.3,0.29999999999999993,0.3,0.29999999999999993,0.30000000000000004,0.3,0.3,0.3,0.3,0.0361019428218287,0.03755928961583152,0.036700595925389004,0.03714388292777856,0.03806932057902111,0.038312673088898935,0.03861101008096909,0.03931558513737361,0.038203403577633056,0.03934419147186523,0.019934576091302652,0.040040327407958126,0.05988821495832167
no_transfers,flat,8.0,0.5232618310157957,0.42468004660380637,0.11375120556745648,1368917718.0802135,160681368.15230885,1529599086.2325225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0321,0.3276035070073309,0.32760350700733065,0.5877894055151929,0.1049944880740438,0.3,0.3,0.29999999999999993,0.3,0.30000000000000004,0.3,0.3,0.30000000000000004,0.3,0.30000000000000004,0.03646042079215813,0.036145490582830835,0.03815462661190209,0.036447082912974056,0.03726795067214894,0.03898049269085526,0.03905717254535243,0.039298921899296874,0.038130593078418755,0.03990114173884218,0.020041722830345315,0.04005264371075692,0.05993729971729138
no_transfers,flat,9.0,0.51898049253298,0.42032604765531695,0.11230240850990211,1365009693.1096873,167337744.38672787,1532347437.4964154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0347,0.33053453935713906,0.3305345393571393,0.5841720821802516,0.10913689170004759,0.29999999999999993,0.3,0.3,0.29999999999999993,0.30000000000000004,0.3,0.3,0.3,0.3,0.3,0.03601617642231108,0.03638892127934267,0.036912906720640376,0.03685243990689951,0.036988100355294574,0.038773419952923285,0.0391016516803547,0.0398462669325469,0.03848893570905898,0.039966315392819536,0.019826855827057805,0.03988421946043316,0.06042953287659918
no_transfers,flat,10.0,0.5151446980104692,0.41627069066079514,0.11105943386212487,1388545723.8151505,175950567.72532928,1564496291.5404797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276,0.32999496632300085,0.32999496632300107,0.5814295259389155,0.11241141154746574,0.30000000000000004,0.3,0.30000000000000004,0.29999999999999993,0.3,0.3,0.3,0.29999999999999993,0.30000000000000004,0.29999999999999993,0.03583627983450664,0.035516956526224414,0.03750526548967589,0.037063945059763743,0.03791000243109862,0.03834860655977595,0.03873257081319702,0.040215504526624146,0.03817661480089644,0.04010390107145311,0.019992145285911787,0.04001677997067372,0.05988420693048371
no_transfers,flat,11.0,0.5116082709259582,0.41242385956374294,0.10979578799842171,1392220173.0771203,182696410.83872062,1574916583.915841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0311,0.3359451572077303,0.3359451572077301,0.5781395134810281,0.11595250259109537,0.3,0.30000000000000004,0.3,0.30000000000000004,0.3,0.3,0.3,0.3,0.3,0.29999999999999993,0.03577317977324833,0.03657997384370764,0.03611809835726189,0.03672515591031877,0.03727568147471574,0.038790116302217424,0.03927934211999735,0.039579000095924785,0.03828742832849981,0.04002193591378843,0.01964517279701154,0.04008971319685916,0.059733980316612846
no_transfers,flat,12.0,0.5084076465404814,0.40873528773943574,0.10855886389715404,1398210759.9962776,192410259.49729186,1590621019.4935694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0298,0.3369093049994818,0.3369093049994816,0.5763422150532651,0.12090384112490418,0.3,0.29999999999999993,0.3,0.30000000000000004,0.30000000000000004,0.3,0.30000000000000004,0.29999999999999993,0.3,0.30000000000000004,0.03534202579163353,0.036074186697901474,0.03669804234320461,0.03654068340957015,0.038286976680745426,0.038934173429708466,0.038481080704150336,0.04036904525275664,0.039341297440952716,0.04036904640671085,0.020155855626453265,0.039938550931705834,0.06034865997223653
no_transfers,flat,13.0,0.5054967263141168,0.4053081242074075,0.10739065319505349,1401157195.9423795,200152209.91344452,1601309405.855824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0281,0.3366408013888802,0.3366408013888802,0.5746737075954484,0.12493210801960923,0.3,0.30000000000000004,0.29999999999999993,0.29999999999999993,0.3,0.3,0.30000000000000004,0.29999999999999993,0.3,0.30000000000000004,0.03534449672811398,0.03581035415703498,0.03635141383801747,0.036570388210350045,0.037741467769419286,0.03899548973620713,0.03896705145266505,0.040417702705505,0.038656159355159196,0.040353069436736416,0.020109165320289422,0.039918597447044686,0.059852112507089154
no_transfers,flat,14.0,0.5029176283496177,0.40220615734634857,0.10641615422259185,1397590488.8787243,210513175.08299705,1608103663.9617214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0306,0.33847730283842337,0.33847730283842337,0.5758043744200283,0.13084314582721202,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.30000000000000004,0.3,0.29999999999999993,0.03521455813185551,0.035349925928294,0.03660057240252627,0.036138548097990254,0.03784329614682811,0.03898993013786976,0.03934033123441794,0.04035518186983785,0.0387267246573778,0.040840954414146625,0.019970187443084913,0.0399316086942983,0.06012635348928365
no_transfers,flat,15.0,0.5004657174811487,0.3991178322749394,0.10536044404418597,1396784971.0643706,216361782.8866098,1613146753.9509807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.3364401604962379,0.3364401604962379,0.5714389693997792,0.13405993127520274,0.3,0.29999999999999993,0.3,0.3,0.3,0.3,0.3,0.30000000000000004,0.3,0.30000000000000004,0.03450755733073677,0.035244571804640926,0.035867504888819214,0.03612298971629005,0.03812667794507055,0.03837174103684866,0.03849520876935188,0.0407277658530686,0.03926161384422312,0.04007626704875248,0.019743334912897544,0.0396682824397436,0.05982549780449828
no_transfers,flat,16.0,0.49839118349658684,0.39649033452606297,0.1044289886787236,1401422418.152314,229391235.02209356,1630813653.1744075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0304,0.3362216164342777,0.3362216164342775,0.5711519998435117,0.14062832999594987,0.30000000000000004,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.30000000000000004,0.03411478424187195,0.035748194090261635,0.03609923984362702,0.035956987474404754,0.03766793779350416,0.03904468780181385,0.03867608310499181,0.04109083294145092,0.039506038919169324,0.04166758035273811,0.020143916057347746,0.04008776095124778,0.05955818680347409
