return_preset,seed_count,wealth_gini_difference_flat_minus_high_mean,wealth_gini_difference_flat_minus_high_std,wealth_gini_difference_flat_minus_high_ci_low,wealth_gini_difference_flat_minus_high_ci_high,top_10_share_difference_flat_minus_high_mean,top_10_share_difference_flat_minus_high_std,top_10_share_difference_flat_minus_high_ci_low,top_10_share_difference_flat_minus_high_ci_high,top_1_share_difference_flat_minus_high_mean,top_1_share_difference_flat_minus_high_std,top_1_share_difference_flat_minus_high_ci_low,top_1_share_difference_flat_minus_high_ci_high,disposable_income_gini_difference_flat_minus_high_mean,disposable_income_gini_difference_flat_minus_high_std,disposable_income_gini_difference_flat_minus_high_ci_low,disposable_income_gini_difference_flat_minus_high_ci_high,shorrocks_difference_flat_minus_high_mean,shorrocks_difference_flat_minus_high_std,shorrocks_difference_flat_minus_high_ci_low,shorrocks_difference_flat_minus_high_ci_high,top_20_persistence_difference_flat_minus_high_mean,top_20_persistence_difference_flat_minus_high_std,top_20_persistence_difference_flat_minus_high_ci_low,top_20_persistence_difference_flat_minus_high_ci_high
baseline_return_heterogeneity,3,0.016776412221459463,9.628226033386595e-05,0.016667458587172453,0.016885365855746473,0.005045714237534841,0.00039280711528414563,0.004601211141786994,0.005490217333282689,0.0001959858845293668,0.000113804737295829,6.720370093227582e-05,0.0003247680681264578,0.06293211267049477,0.00011346927653759902,0.06280371009648145,0.06306051524450809,0.007916666666666683,0.006452147575290983,0.0006153743533536191,0.015217958979979747,-0.03133333333333329,0.0056862407030773485,-0.037767920430506766,-0.02489874623615981
high_return_heterogeneity,3,0.01344268315547333,8.374653532895778e-05,0.01334791502943022,0.013537451281516441,0.005627967257467763,0.0004452560607569113,0.005124112592656585,0.00613182192227894,0.00032700312853963426,0.0002128553403671347,8.613463594318158e-05,0.000567871621136087,0.06293211267049477,0.00011346927653759902,0.06280371009648145,0.06306051524450809,0.00024999999999997247,0.0006959705453537658,-0.0005375648121478003,0.0010375648121477453,-0.010666666666666677,0.002020725942163692,-0.012953333333333344,-0.008380000000000009
low_return_heterogeneity,3,0.01796956437089836,0.0002450987256713712,0.017692209053019336,0.018246919688777386,0.004219620566450681,0.0001129722428127762,0.004091780439044813,0.004347460693856549,0.00015493423158778608,6.355841031798752e-05,8.30111195873307e-05,0.00022685734358824145,0.06293211267049477,0.00011346927653759902,0.06280371009648145,0.06306051524450809,0.0170833333333333,0.0055569963409501585,0.010794999999999956,0.023371666666666645,-0.04183333333333339,0.00561990510002912,-0.04819285462908444,-0.03547381203758234
