return_preset,scenario,year,wealth_gini,top_10_share,top_1_share,labour_tax_revenue,capital_tax_revenue,total_tax_revenue,total_transfers,universal_transfer_spending,means_tested_transfer_spending,unemployment_transfer_spending,transfer_spending_share,means_tested_recipient_count,means_tested_recipient_share,unemployment_rate,pre_tax_labour_income_gini,disposable_income_gini,capital_income_gini,capital_income_share,avg_tax_rate_income_decile_1,avg_tax_rate_income_decile_2,avg_tax_rate_income_decile_3,avg_tax_rate_income_decile_4,avg_tax_rate_income_decile_5,avg_tax_rate_income_decile_6,avg_tax_rate_income_decile_7,avg_tax_rate_income_decile_8,avg_tax_rate_income_decile_9,avg_tax_rate_income_decile_10,avg_return_wealth_decile_1,avg_return_wealth_decile_2,avg_return_wealth_decile_3,avg_return_wealth_decile_4,avg_return_wealth_decile_5,avg_return_wealth_decile_6,avg_return_wealth_decile_7,avg_return_wealth_decile_8,avg_return_wealth_decile_9,avg_return_wealth_decile_10,avg_return_class_low,avg_return_class_medium,avg_return_class_high
baseline_return_heterogeneity,flat,1.0,0.5619690985699906,0.4580037492222239,0.12432194757245811,1292974162.1010942,115024697.3406164,1407998859.4417102,1292974162.101094,1132918659.0000854,85227037.97441608,74828465.12659256,0.9999999999999998,2870.0,0.287,0.0319,0.26925309451352564,0.1585420700976763,0.6237710506428162,0.08166779657161273,0.3,0.3,0.3,0.3,0.3,0.29999999999999993,0.3,0.30000000000000004,0.3,0.3,0.0383026743207178,0.03784584342272458,0.03810101919210348,0.03810652050385528,0.038040776580262885,0.0377162165375062,0.0379839653383161,0.03920357006464528,0.03809728843543104,0.038217300151834104,0.020221986413946964,0.040177990271560854,0.06023964544530334
baseline_return_heterogeneity,flat,2.0,0.5441918403424502,0.44603403545322484,0.12050116951790216,1313114506.6382847,121472185.5695459,1434586692.2078304,1313114506.6382847,1146944445.4838965,94502396.3587504,71667664.79563767,1.0,2974.0,0.2974,0.0312,0.28544610848508145,0.1694762200603006,0.6093194358455973,0.08460445505964834,0.3,0.30000000000000004,0.29999999999999993,0.3,0.30000000000000004,0.3,0.3,0.29999999999999993,0.30000000000000004,0.30000000000000004,0.03801109789256148,0.03793192843779551,0.036990803036398935,0.03706007789488494,0.03813004021285694,0.03785920256615098,0.03749274853333084,0.0383800770401688,0.03774842022746476,0.03790650703637296,0.019547025782087803,0.039933618071684975,0.05981264275144544
baseline_return_heterogeneity,flat,3.0,0.5284726833103075,0.43498523719345683,0.11696280963589419,1330560659.2765982,129796986.55748141,1460357645.8340793,1330560659.2765982,1162149683.6969697,100716045.85895176,67694929.72067666,1.0,3070.0,0.307,0.0295,0.295086343926819,0.17644068541710456,0.5952617287088764,0.08883412609873335,0.3,0.29999999999999993,0.29999999999999993,0.3,0.29999999999999993,0.3,0.3,0.29999999999999993,0.3,0.29999999999999993,0.037319330920046495,0.03825049083089593,0.03674335866075201,0.03711607659730589,0.037933701702976864,0.037323145482704365,0.03806426616483712,0.038563965976429075,0.0381071839913131,0.03857775323556859,0.019788325436876038,0.03993152759888695,0.059698138591321316
baseline_return_heterogeneity,flat,4.0,0.514739261920977,0.42496349162368247,0.11373304338764592,1334910878.192476,138543788.96348822,1473454667.1559644,1334910878.1924758,1159539245.3528728,106914995.84468904,68456636.99491403,0.9999999999999998,3139.0,0.3139,0.0305,0.303249898199623,0.1811352419016916,0.5827987483764605,0.0939847641346382,0.3,0.29999999999999993,0.3,0.29999999999999993,0.29999999999999993,0.3,0.3,0.3,0.3,0.3,0.03686404730707986,0.037751611949852784,0.036577225081495954,0.037396853399691864,0.037759604857342935,0.038432775680526395,0.03835140202272844,0.038757889394995346,0.03771000193931246,0.03879594221616755,0.020020818916762585,0.039862261884812095,0.059720203231290146
baseline_return_heterogeneity,flat,5.0,0.5026129245285074,0.4157428235680465,0.1107826061353129,1346169233.3298383,148124938.9945691,1494294172.3244076,1346169233.3298388,1169133393.103459,110992841.71760124,66042998.50877842,1.0000000000000004,3199.0,0.3199,0.0295,0.3101464032774537,0.18608489642042536,0.5739123010378684,0.09908030166666858,0.29999999999999993,0.3,0.29999999999999993,0.30000000000000004,0.3,0.3,0.29999999999999993,0.29999999999999993,0.3,0.3,0.03723283784767932,0.036942891226645215,0.03723173023019227,0.037440235759571734,0.037896632505000485,0.03829805706018612,0.03940609638012042,0.039015012694386855,0.03756783156585514,0.03934813061404525,0.020058768577593738,0.04021474911898644,0.05977365322973141
baseline_return_heterogeneity,flat,6.0,0.49197874802845676,0.40723645957424853,0.10809781140488113,1350671905.5573735,157155558.10409856,1507827463.6614723,1350671905.5573733,1168572458.7862637,112306036.1979498,69793410.57315975,0.9999999999999998,3217.0,0.3217,0.031,0.31566448102849254,0.18917741190784132,0.5638799532441476,0.10418975542142486,0.3,0.3,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.3,0.29999999999999993,0.3,0.29999999999999993,0.29999999999999993,0.037036224767273355,0.0361928867087517,0.03721455906131454,0.03717416179354264,0.03799113682992052,0.03864852350367394,0.03898704526628335,0.039380245295656355,0.03871212363288772,0.03900264271715781,0.0201361214961939,0.03994931121688565,0.060302784268783695
baseline_return_heterogeneity,flat,7.0,0.4824349758830293,0.3993600193166137,0.1055341415016704,1365626174.3683996,165629224.3480938,1531255398.7164934,1365626174.3683996,1186116988.6883976,114865452.39171478,64643733.28828719,1.0,3226.0,0.3226,0.0283,0.3210818153082189,0.1938718446175336,0.5553948069118559,0.10809747863755055,0.3,0.3,0.29999999999999993,0.3,0.29999999999999993,0.30000000000000004,0.3,0.3,0.3,0.3,0.036144076072640655,0.03691244398934796,0.03712933361249361,0.036422847050416214,0.03831877750700514,0.038516810996449866,0.03890640942616083,0.03927302163087957,0.03847671520252553,0.03926145973866944,0.019934576091302652,0.040040327407958126,0.05988821495832167
baseline_return_heterogeneity,flat,8.0,0.4740056882580628,0.3922856352902907,0.10333615493584267,1368917718.0802135,176564569.7493341,1545482287.8295474,1368917718.0802138,1179986509.107083,117490444.07312939,71440764.9000014,1.0000000000000002,3270.0,0.327,0.0321,0.3276035070073309,0.19699662079426394,0.5511601223121771,0.11418788575654142,0.3,0.3,0.29999999999999993,0.3,0.30000000000000004,0.3,0.3,0.30000000000000004,0.3,0.30000000000000004,0.03638406946317788,0.03631024596418335,0.03706246510392016,0.036591576672751744,0.03788249254937145,0.038503277517234445,0.039668613601932606,0.03944251828324715,0.038275401520261945,0.03972323284869881,0.020041722830345315,0.04005264371075692,0.05993729971729138
baseline_return_heterogeneity,flat,9.0,0.4664372236918326,0.3857287083959005,0.10118201899145918,1365009693.1096873,185799145.238932,1550808838.3486197,1365009693.109687,1167382542.3350255,118789182.87392162,78837967.90074022,0.9999999999999998,3261.0,0.3261,0.0347,0.33053453935713906,0.19774671048936576,0.544949965302463,0.11973592305248669,0.29999999999999993,0.3,0.3,0.29999999999999993,0.30000000000000004,0.3,0.3,0.3,0.3,0.3,0.035535156634861634,0.03662816550882818,0.03653823669457621,0.036546460709382785,0.03743049309805677,0.0389107282666378,0.03917635145670812,0.04007627745566781,0.03866052913663978,0.03983273539083253,0.019826855827057805,0.03988421946043316,0.06042953287659918
baseline_return_heterogeneity,flat,10.0,0.4595505622011373,0.3796251847991757,0.09926701881174746,1388545723.8151505,197032308.5212794,1585578032.3364296,1388545723.8151505,1207189264.2186005,119301635.83314331,62054823.76340632,1.0,3256.0,0.3256,0.0276,0.32999496632300085,0.20047462161953677,0.5394863092491204,0.1242073630651708,0.30000000000000004,0.3,0.30000000000000004,0.29999999999999993,0.3,0.3,0.3,0.29999999999999993,0.30000000000000004,0.29999999999999993,0.03536872805952827,0.036261613902501266,0.03644786241168992,0.03687876386518061,0.03835847879522752,0.03844769153195338,0.03904574248145007,0.040116623926104364,0.0385082910913891,0.03997585104819146,0.019992145285911787,0.04001677997067372,0.05988420693048371
