scenario,year,wealth_gini,top_10_share,top_1_share,labour_tax_revenue,capital_tax_revenue,total_tax_revenue,total_transfers,avg_return_wealth_decile_1,avg_return_wealth_decile_2,avg_return_wealth_decile_3,avg_return_wealth_decile_4,avg_return_wealth_decile_5,avg_return_wealth_decile_6,avg_return_wealth_decile_7,avg_return_wealth_decile_8,avg_return_wealth_decile_9,avg_return_wealth_decile_10,avg_return_class_low,avg_return_class_medium,avg_return_class_high
flat,1.0,0.5599747569175029,0.4566740025543881,0.12389602365741063,1337957731.534157,115024697.3406164,1452982428.8747737,1452982428.8747735,0.0383026743207178,0.03784584342272458,0.03810101919210348,0.03810652050385528,0.038040776580262885,0.0377162165375062,0.0379839653383161,0.03920357006464528,0.03809728843543104,0.038217300151834104,0.020221986413946964,0.040177990271560854,0.06023964544530334
flat,2.0,0.5406677875658936,0.4436277584251489,0.11981192453116497,1359580856.5103304,122437401.48752603,1482018257.9978566,1482018257.9978561,0.03784138674405047,0.038274965952320626,0.03705394819144694,0.037190029023749,0.03833212650329021,0.03797324441854729,0.037986632717511765,0.03852911172662154,0.03769767958475997,0.038014235637670604,0.019721045692608734,0.03996312036339828,0.06016969282668495
flat,3.0,0.5238541654705149,0.43169389644500833,0.11598360771305491,1367756607.7076182,130640726.93158644,1498397334.6392045,1498397334.6392047,0.037928370305278875,0.03745492406735488,0.037438707991462775,0.037376404647681466,0.038449430552401395,0.0376652000676371,0.03805210439615135,0.03882646110788936,0.037659176047532925,0.03826924313982194,0.01985932094425842,0.03993616364210337,0.06014200799573843
flat,4.0,0.5090817619014567,0.42068804777403024,0.1123700200538734,1378440563.6861427,138402397.45455706,1516842961.1406994,1516842961.140699,0.0378611400054302,0.03776385664448787,0.03705239297057267,0.036742111398395755,0.03744908075978665,0.038155133513880245,0.038368109929551565,0.038892989431851904,0.0374355805871585,0.03836865775901073,0.019875802216190612,0.039836536024065505,0.05984930497875672
flat,5.0,0.4962366779765044,0.4106489431268841,0.10906960676040066,1389098508.7106254,148373099.03040704,1537471607.7410324,1537471607.741033,0.0364361206312667,0.03767943655032754,0.03701210153586476,0.03660226385639737,0.03732803396756937,0.038002652615360275,0.037931889966907904,0.0392024811210414,0.03820624891124514,0.03873790726273707,0.019571417144069382,0.039726972042543975,0.06010765880672441
flat,6.0,0.4848971389928485,0.4013946541452953,0.10617498229687711,1396119018.9160519,159062861.95758426,1555181880.8736358,1555181880.8736358,0.0372468862872704,0.03735807341266491,0.0364804019914697,0.037547185084077825,0.037250780264305686,0.0384393386742052,0.039086543902529365,0.039361063773604966,0.03802776143849231,0.03905376903166215,0.019947276691774627,0.039991289420053165,0.06023813823839863
flat,7.0,0.4747899697989517,0.39284489968388364,0.10336473659799571,1403915490.4173663,168634990.9104757,1572550481.327842,1572550481.327842,0.03616802761557665,0.03724576293436076,0.03668498663085777,0.037264305274078584,0.03774010368843259,0.03909462251356661,0.03868583606986235,0.03958490618307161,0.03838322590251354,0.0393888115772308,0.019992693141172847,0.04012603366521396,0.0600265225631665
flat,8.0,0.4659574713736121,0.38518467696845266,0.1009215011110592,1406291705.3911095,180298464.9060899,1586590170.2971992,1586590170.2971992,0.035972872618133166,0.03719313676414845,0.03672826189371844,0.03666113143604592,0.038321564590810826,0.03850961897222505,0.03855944134869999,0.039466419888922244,0.03860619345108339,0.04002790160733946,0.02018184128594643,0.03991249573887337,0.060178852541791075
flat,9.0,0.4580955089682439,0.3781338611904686,0.09878439261812291,1413575775.2553217,192684997.4991476,1606260772.7544694,1606260772.7544694,0.036252497410651195,0.03650777684315003,0.03654349747228964,0.03718982951883612,0.037835343812704765,0.03855325735781385,0.03931076066093787,0.04043104503504983,0.039347850228548725,0.040184835096392896,0.020450597771310003,0.04013468283254331,0.060274476562014206
flat,10.0,0.4508888956543864,0.3714856661129401,0.09665258940999252,1416538991.2800078,200346462.38802463,1616885453.6680326,1616885453.6680324,0.034613816698463695,0.03661818776879274,0.036697297460008146,0.03724754834870799,0.0380720338923736,0.03857645687443493,0.038793205585053246,0.04034124981529686,0.038860252887048856,0.039372146133989,0.020088115533104713,0.03977900348423166,0.06022657512192469
flat,11.0,0.4445763903052069,0.36562193278021077,0.09483991341139955,1417732272.2743511,214494668.54258895,1632226940.8169403,1632226940.8169403,0.03474935063678143,0.03616614231795614,0.03701799269533569,0.03693757789395883,0.0383995019210405,0.03873578529811003,0.039161826677784166,0.040107601476478766,0.038924765226817905,0.04043172682884629,0.020119667052293993,0.040116170114408045,0.06005591750371835
flat,12.0,0.43876210621989387,0.3600574267544446,0.09297270475977217,1420719369.249034,225104353.5720961,1645823722.8211303,1645823722.82113,0.03444488952531802,0.03626035980107159,0.03650490509337992,0.03683897753726485,0.0378125609204474,0.03909372497009894,0.03963811842266917,0.040330727667040885,0.039330589677160875,0.04024886983269211,0.020167130808008346,0.04004094132273818,0.06010835844485181
flat,13.0,0.4334611699303035,0.35487766265528037,0.09125754657250813,1422933537.1271694,236377346.56574816,1659310883.6929173,1659310883.6929173,0.03357310245148266,0.03531665725254557,0.036304643863566244,0.03718710451188501,0.03791382558064538,0.03873447277250372,0.03951357759191865,0.040350799077994375,0.03943599655425669,0.040303906221220404,0.019937959080983416,0.03965304620873362,0.060489543556531765
flat,14.0,0.4286440734563439,0.3500919798852161,0.0896794585461851,1423765380.1864095,250672156.3382073,1674437536.5246172,1674437536.5246174,0.034010275547867196,0.035371579358036496,0.03632168649913676,0.037478774969002496,0.038168798983321,0.03891768693771834,0.03984202905325141,0.04085839711620282,0.03978817421334669,0.040708217463600725,0.020171654148460415,0.0401041138242041,0.06042608792906745
flat,15.0,0.4244218684755714,0.3458902771696534,0.0883145670166631,1428193599.481968,264028204.38273513,1692221803.8647027,1692221803.8647022,0.0339095127179214,0.03490820784162575,0.03637408120882196,0.036955839354844075,0.038205722130797606,0.03840179224474963,0.03894733575708069,0.04000048340882452,0.03956037098952529,0.04156481469826951,0.019992469476931073,0.03987064126021941,0.05995843692146039
flat,16.0,0.42049133848038456,0.34189707257297897,0.08701138031351027,1428222620.5057948,275819679.93166566,1704042300.4374604,1704042300.4374604,0.034134760222976936,0.03494056304087668,0.03561579868219614,0.03693430159816924,0.03810556566008568,0.03915729864342447,0.0391325828109247,0.04039541621467118,0.03915461580032969,0.040921717501709615,0.01999235210810314,0.03985661712942259,0.05982528369162884
flat,17.0,0.41698919863601547,0.3383129077153421,0.085859185668252,1426379371.3687153,293307977.34081095,1719687348.709526,1719687348.7095258,0.03396082888424353,0.03446089021039955,0.03600920363623379,0.03696461749379181,0.037818982611563426,0.03950568329877682,0.039671704962277246,0.04081008995951668,0.03997573778653478,0.04187724232383399,0.020191827796354346,0.04016231599520861,0.060043246015316416
flat,18.0,0.4137878264058925,0.335028638954779,0.08479618494554869,1425821136.6116827,306241988.02746093,1732063124.6391437,1732063124.6391435,0.03277376080941226,0.0344455180129482,0.035787025468379675,0.0371211291212574,0.037871333228564154,0.03862502707297994,0.04010286138804692,0.04084484863188813,0.03933474945215252,0.04186677207689009,0.0198813895141105,0.03998685369893968,0.059807118087602626
flat,19.0,0.41093348594615087,0.3320000975384698,0.08381357235642148,1424590480.5726023,323111956.4294918,1747702437.0020938,1747702437.0020938,0.03310117536759235,0.03391101111935066,0.035637178848600654,0.03706298731507563,0.03831631617030897,0.03859889953508848,0.03948906677740259,0.04132989358853675,0.040435347918774865,0.04227685722988229,0.020032104355290892,0.03999651918668054,0.06025084338354315
