return_preset,scenario,year,wealth_gini,top_10_share,top_1_share,labour_tax_revenue,capital_tax_revenue,total_tax_revenue,total_transfers,universal_transfer_spending,means_tested_transfer_spending,unemployment_transfer_spending,transfer_spending_share,means_tested_recipient_count,means_tested_recipient_share,unemployment_rate,pre_tax_labour_income_gini,disposable_income_gini,capital_income_gini,capital_income_share,avg_tax_rate_income_decile_1,avg_tax_rate_income_decile_2,avg_tax_rate_income_decile_3,avg_tax_rate_income_decile_4,avg_tax_rate_income_decile_5,avg_tax_rate_income_decile_6,avg_tax_rate_income_decile_7,avg_tax_rate_income_decile_8,avg_tax_rate_income_decile_9,avg_tax_rate_income_decile_10,avg_return_wealth_decile_1,avg_return_wealth_decile_2,avg_return_wealth_decile_3,avg_return_wealth_decile_4,avg_return_wealth_decile_5,avg_return_wealth_decile_6,avg_return_wealth_decile_7,avg_return_wealth_decile_8,avg_return_wealth_decile_9,avg_return_wealth_decile_10,avg_return_class_low,avg_return_class_medium,avg_return_class_high
baseline_return_heterogeneity,swedish_baseline_progressivity,1.0,0.5618723391509091,0.4579925351957092,0.12432300329317794,1291500735.5242941,115024697.3406164,1406525432.8649106,1291500735.5242944,1146141238.9822602,70531031.41544184,74828465.12659256,1.0000000000000002,2508.0,0.2508,0.0319,0.26925309451352564,0.13818309783053562,0.6237710506428162,0.08166779657161273,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26091531333357587,0.2670298562364171,0.2818608290827117,0.31475735796930376,0.3954466123735709,0.0383026743207178,0.03784584342272458,0.03810101919210348,0.03810652050385528,0.038040776580262885,0.0377162165375062,0.0379839653383161,0.03920357006464528,0.03809728843543104,0.038217300151834104,0.020221986413946964,0.040177990271560854,0.06023964544530334
baseline_return_heterogeneity,swedish_baseline_progressivity,2.0,0.5437672555668926,0.44599259022867876,0.12051077171727063,1336580746.2776682,121470975.16580416,1458051721.4434726,1336580746.2776682,1185371882.2352192,79541199.24681139,71667664.79563767,1.0,2624.0,0.2624,0.0312,0.28544610848508145,0.14500281754899635,0.6092233466978096,0.0846036813446968,0.26072959554879566,0.26072959554879566,0.2607295955487956,0.26072959554879566,0.26072959554879566,0.2609282185444199,0.2680584462811249,0.28459745683182697,0.32402069353422824,0.4065401895104455,0.03791137253745595,0.03783757800460741,0.037195642043487055,0.0370881386808972,0.03809905957689001,0.037801951054958344,0.037584567942533,0.03838177825446648,0.03769047187188603,0.037920342910804664,0.019547025782087803,0.039933618071684975,0.05981264275144544
baseline_return_heterogeneity,swedish_baseline_progressivity,3.0,0.5275790858936531,0.43489927384084404,0.11697928980444325,1371249329.8814104,129786930.48460121,1501036260.3660114,1371249329.8814106,1218104198.7348645,85450201.42586978,67694929.72067666,1.0000000000000002,2708.0,0.2708,0.0295,0.295086343926819,0.14919633680046251,0.594917260829789,0.08882781575571204,0.26072959554879566,0.26072959554879566,0.2607295955487957,0.26072959554879566,0.26072959554879566,0.2611544698317247,0.2687448892194451,0.2862011584055855,0.32980663055324577,0.41381693995323354,0.037307541197156124,0.03836009100482627,0.036445891091409874,0.03727532905339033,0.038107694643756275,0.03721874841503077,0.038022387804186535,0.038547077695887354,0.038167610311856504,0.038546902345329405,0.019788325436876038,0.03993152759888695,0.059698138591321316
baseline_return_heterogeneity,swedish_baseline_progressivity,4.0,0.5132946532441116,0.42483098781505635,0.1137502485842896,1385301938.0962179,138540459.28398782,1523842397.380206,1385301938.0962179,1225216505.6871688,91628795.41413516,68456636.99491403,1.0,2753.0,0.2753,0.0305,0.303249898199623,0.15243217355867644,0.5821269111538823,0.0939826468387706,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.2610759608975351,0.26904143760140353,0.2880773489548557,0.33267386196455734,0.4170655783222744,0.036847765091779616,0.037664353114775694,0.03652026490968511,0.037499954787033336,0.03779278290915144,0.03845969405150751,0.03810954683534432,0.03915194234355915,0.03740544227899741,0.038945607527359996,0.020020818916762585,0.039862261884812095,0.059720203231290146
baseline_return_heterogeneity,swedish_baseline_progressivity,5.0,0.5005580185542526,0.4155739101573726,0.11080468432272696,1409708702.71328,148118948.99067962,1557827651.70396,1409708702.7132802,1248414269.5661,95251434.63840199,66042998.50877842,1.0000000000000002,2864.0,0.2864,0.0295,0.3101464032774537,0.1553861975387847,0.5728192967714274,0.09907704779164894,0.2607295955487956,0.26072959554879566,0.26072959554879566,0.2607295955487957,0.26072959554879566,0.26111196616280513,0.2694531275561795,0.28950562209205255,0.3389698772247636,0.4208539528622418,0.03733715905938723,0.03686508163893495,0.03714763501330676,0.03740017023976317,0.03811863368610271,0.037823399102656856,0.03965110971334796,0.03916885093132096,0.037551374860049024,0.03931604163881321,0.020058768577593738,0.04021474911898644,0.05977365322973141
baseline_return_heterogeneity,swedish_baseline_progressivity,6.0,0.489277785862529,0.40701372684664616,0.10812189049003437,1421957650.1153014,157131139.79670182,1579088789.912003,1421957650.1153016,1255370532.944116,96793706.5980255,69793410.57315975,1.0000000000000002,2842.0,0.2842,0.031,0.31566448102849254,0.1573324876323252,0.5623618080572086,0.10417570773457768,0.26072959554879566,0.26072959554879566,0.2607295955487957,0.2607295955487957,0.2607295955487957,0.26111707144834306,0.2699938624371012,0.29099180954284504,0.34200400164474937,0.42279533050285867,0.03700253034851366,0.03629322449843568,0.03738772228744535,0.03680428392541596,0.03800979649345814,0.03846805324476859,0.03921990405134286,0.03937805064905717,0.03876506687888468,0.039010917199139857,0.0201361214961939,0.03994931121688565,0.060302784268783695
baseline_return_heterogeneity,swedish_baseline_progressivity,7.0,0.4790525041868674,0.3990456250127796,0.10555328186881816,1449623567.0170512,165607110.32966185,1615230677.346713,1449623567.017051,1285721280.9999218,99258552.72884196,64643733.28828719,0.9999999999999999,2867.0,0.2867,0.0283,0.3210818153082189,0.15986385718913043,0.5534335854321983,0.10808460035023458,0.26072959554879566,0.26072959554879566,0.2607295955487957,0.2607295955487957,0.2607295955487956,0.2610173785812929,0.2696805796137995,0.2912521782103166,0.3449904366317138,0.42788912696601855,0.03604763462975662,0.03700253007187096,0.037174639428880524,0.03662355475107887,0.037841578789468824,0.03877568228387426,0.03911602148556856,0.03902907703518524,0.038537000108773235,0.039214176642131726,0.019934576091302652,0.040040327407958126,0.05988821495832167
baseline_return_heterogeneity,swedish_baseline_progressivity,8.0,0.4699575782036789,0.39181113250452976,0.10335418294888472,1461315147.1892385,176542218.3520984,1637857365.5413368,1461315147.1892385,1288014786.8029075,101859595.4863299,71440764.9000014,1.0,2893.0,0.2893,0.0321,0.3276035070073309,0.16186243299549807,0.5487554058353055,0.11417507998822828,0.26072959554879566,0.26072959554879566,0.2607295955487956,0.26072959554879566,0.2607295955487957,0.2611055261683078,0.27021393152485795,0.2931713967940041,0.3488586403909086,0.4294330897661753,0.03636782648296651,0.036370415790316156,0.037065894405754155,0.0366452010032919,0.0373675791873163,0.03890556650109692,0.03952031386145147,0.039549715372380535,0.03830330544536275,0.03974807547484283,0.020041722830345315,0.04005264371075692,0.05993729971729138
baseline_return_heterogeneity,swedish_baseline_progressivity,9.0,0.46177569328931245,0.38513364891507146,0.10119898933629991,1457718221.5570045,185771567.89696747,1643489789.4539719,1457718221.5570045,1275664623.6046336,103215630.05163047,78837967.90074022,1.0,2909.0,0.2909,0.0347,0.33053453935713906,0.16258629883080244,0.5421193145768108,0.11971977556606235,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.2607295955487957,0.26103517738302673,0.27033857876218703,0.2939702722988913,0.3476885684961271,0.4295052945652323,0.03542019454352115,0.03652349493108763,0.036614037647739246,0.03637244302498532,0.037661074553126825,0.03857222960905108,0.03926756678661244,0.04060433184989371,0.038656189558104195,0.039643571848070026,0.019826855827057805,0.03988421946043316,0.06042953287659918
baseline_return_heterogeneity,swedish_baseline_progressivity,10.0,0.45427262629737974,0.3789435882894518,0.09928233056845662,1492861086.5831566,196986243.3393445,1689847329.9225008,1492861086.5831566,1327216741.0878913,103589521.73185864,62054823.76340632,1.0,2907.0,0.2907,0.0276,0.32999496632300085,0.16365244326509654,0.5362319656754733,0.12418137435355517,0.2607295955487957,0.2607295955487957,0.26072959554879566,0.26072959554879566,0.2607295955487957,0.26129302184437897,0.2712310483909179,0.29540036136489034,0.3522307806076793,0.43281316131598757,0.03531080870796438,0.0363313479568548,0.03636465836602894,0.036914123220714815,0.03823192598051077,0.03799456113702158,0.03956897713948757,0.040259393226878555,0.038426087291792886,0.040007764085961656,0.019992145285911787,0.04001677997067372,0.05988420693048371
baseline_return_heterogeneity,swedish_baseline_progressivity,11.0,0.4474328561935166,0.3731997720857839,0.09743604873901181,1502733526.836646,206482114.5588783,1709215641.3955245,1502733526.8366458,1327150821.3414743,106794765.11452195,68787940.3806495,0.9999999999999999,2966.0,0.2966,0.0311,0.3359451572077303,0.1655116161916219,0.5301991783329749,0.12909824409244877,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.2607295955487957,0.2607295955487957,0.26152764189641214,0.27205891555075684,0.2963034598068626,0.35288177238111956,0.4345747721344548,0.03508826992838797,0.036789602843231024,0.03569639497744735,0.036385232670733646,0.03817796799940085,0.03798085637930217,0.039599049006066325,0.04045450079387124,0.038213880371376796,0.04004415714986277,0.01964517279701154,0.04008971319685916,0.059733980316612846
baseline_return_heterogeneity,swedish_baseline_progressivity,12.0,0.4412366255314131,0.3678274078724488,0.09566263077196271,1512643339.5630455,219163401.18753427,1731806740.7505798,1512643339.5630453,1339511365.5084982,106633066.70472181,66498907.34982476,0.9999999999999999,2943.0,0.2943,0.0298,0.3369093049994818,0.16611683965193902,0.5262668588536006,0.13543571070874652,0.2607295955487957,0.26072959554879566,0.26072959554879566,0.2607295955487957,0.2607295955487957,0.26150189197887114,0.2720765081913839,0.2973564047126167,0.3532161900719485,0.4358796869720117,0.03462004557235568,0.03605758646949259,0.03663870346013013,0.036433196338555324,0.03798626174718674,0.038842463753787866,0.03920413203229154,0.040787213324090146,0.039453519316945754,0.04041343614249843,0.020155855626453265,0.039938550931705834,0.06034865997223653
baseline_return_heterogeneity,swedish_baseline_progressivity,13.0,0.4355941573276474,0.3628931535696551,0.09401185012039662,1517913395.0786996,229765086.25268647,1747678481.331386,1517913395.0786998,1347305247.2627952,106748541.8833648,63859605.93254012,1.0000000000000002,2949.0,0.2949,0.0281,0.3366408013888802,0.1661272370621778,0.5223705923122166,0.14081092218102245,0.26072959554879566,0.2607295955487957,0.2607295955487956,0.26072959554879566,0.26072959554879566,0.2615070220103007,0.27194215017125106,0.29718929938225525,0.3565124063619627,0.43571588993861,0.03459178003339218,0.03544027869180973,0.0361009753205158,0.0369254928234952,0.03771639429649507,0.03907684018260898,0.03963422839384228,0.040255396666882756,0.03886498827879068,0.04060121870137587,0.020109165320289422,0.039918597447044686,0.059852112507089154
baseline_return_heterogeneity,swedish_baseline_progressivity,14.0,0.4305851980683384,0.3584179480578472,0.09260556908837082,1514666195.1664047,243269781.3099039,1757935976.4763088,1514666195.1664047,1338349528.3002176,106821249.47320668,69495417.39298029,1.0,2949.0,0.2949,0.0306,0.33847730283842337,0.16638111939522604,0.5219630369512755,0.1481844847785546,0.26072959554879566,0.2607295955487956,0.26072959554879566,0.26072959554879566,0.2607295955487957,0.26135233790483753,0.2716353996965924,0.2969076697522463,0.35622368911761804,0.4360130681023471,0.03412353145079615,0.03567810017976522,0.03593281470280333,0.0362748988566706,0.03803905297715019,0.038682015125415845,0.039977973735233305,0.04049849765406621,0.039203901932365726,0.04098923640687752,0.019970187443084913,0.0399316086942983,0.06012635348928365
baseline_return_heterogeneity,swedish_baseline_progressivity,15.0,0.42590434183720105,0.354040381047354,0.0911908892087934,1510961104.4641922,251981149.48345882,1762942253.947651,1510961104.464192,1338011714.4967692,107209764.81039208,65739625.15703061,0.9999999999999999,2936.0,0.2936,0.029,0.3364401604962379,0.1658821791087215,0.5159933868789006,0.15275969138354886,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.2614878128174389,0.272122621731679,0.2963163710829032,0.3547614437118204,0.43551293377833594,0.03363782623868995,0.03473803324221383,0.035842609949156744,0.036499103321537545,0.03749797270901914,0.03843700491237543,0.03918505556448756,0.04056295773673208,0.04036093464089295,0.040040399922697006,0.019743334912897544,0.0396682824397436,0.05982549780449828
