return_preset,scenario,tax_system,transfer_policy,seed_count,calibrated_rate_mean,calibrated_rate_std,calibrated_rate_ci_low,calibrated_rate_ci_high,first_year_revenue_difference_mean,first_year_revenue_difference_std,first_year_revenue_difference_ci_low,first_year_revenue_difference_ci_high,final_gini_mean,final_gini_std,final_gini_ci_low,final_gini_ci_high,final_pre_tax_labour_income_gini_mean,final_pre_tax_labour_income_gini_std,final_pre_tax_labour_income_gini_ci_low,final_pre_tax_labour_income_gini_ci_high,final_disposable_income_gini_mean,final_disposable_income_gini_std,final_disposable_income_gini_ci_low,final_disposable_income_gini_ci_high,final_capital_income_gini_mean,final_capital_income_gini_std,final_capital_income_gini_ci_low,final_capital_income_gini_ci_high,final_capital_income_share_mean,final_capital_income_share_std,final_capital_income_share_ci_low,final_capital_income_share_ci_high,final_transfer_spending_share_mean,final_transfer_spending_share_std,final_transfer_spending_share_ci_low,final_transfer_spending_share_ci_high,final_means_tested_recipient_count_mean,final_means_tested_recipient_count_std,final_means_tested_recipient_count_ci_low,final_means_tested_recipient_count_ci_high,final_means_tested_recipient_share_mean,final_means_tested_recipient_share_std,final_means_tested_recipient_share_ci_low,final_means_tested_recipient_share_ci_high,final_unemployment_rate_mean,final_unemployment_rate_std,final_unemployment_rate_ci_low,final_unemployment_rate_ci_high,final_top_10_share_mean,final_top_10_share_std,final_top_10_share_ci_low,final_top_10_share_ci_high,final_top_1_share_mean,final_top_1_share_std,final_top_1_share_ci_low,final_top_1_share_ci_high,shorrocks_index_mean,shorrocks_index_std,shorrocks_index_ci_low,shorrocks_index_ci_high,top_20_persistence_mean,top_20_persistence_std,top_20_persistence_ci_low,top_20_persistence_ci_high
baseline_return_heterogeneity,flat,flat,swedish_transfer,3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.4057539038396743,0.003494356414296414,0.4017996673114548,0.4097081403678938,0.3365670812791568,0.002372450256041953,0.3338824010829858,0.3392517614753278,0.20316781207561915,0.0013524163012269288,0.20163740896110233,0.20469821519013598,0.5094996094859054,0.004470628472233024,0.5044406171242,0.5145586018476109,0.26249301245728723,0.002423376479848117,0.25975070381383053,0.26523532110074394,1.0,1.5700924586837752e-16,0.9999999999999998,1.0000000000000002,3364.3333333333335,30.03886371574886,3330.341159070555,3398.325507596112,0.33643333333333336,0.0030038863715748754,0.3330341159070555,0.3398325507596112,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.32578730330095224,0.003521677052582994,0.3218021505601091,0.3297724560417954,0.08547425789207892,0.0031521397563369284,0.0819072759678638,0.08904123981629404,0.7287916666666666,0.010405327161282946,0.7170169305290238,0.7405664028043094,0.7211666666666666,0.007234178138070241,0.7129804234637207,0.7293529098696125
baseline_return_heterogeneity,swedish_baseline_progressivity,swedish,swedish_transfer,3,0.34232345500701483,0.0009508424402060346,0.3412474754949475,0.34339943451908217,1.5894571940104166e-07,4.963078497567494e-07,-4.026794830886063e-07,7.205709218906896e-07,0.3948572286892617,0.003463265812087071,0.3909381744894497,0.39877628288907374,0.3365670812791568,0.002372450256041953,0.3338824010829858,0.3392517614753278,0.16550967095048752,0.0011871614086607222,0.1641662713511184,0.16685307054985665,0.5025090373919042,0.004607283259783924,0.4972954055805768,0.5077226692032317,0.2624830101662155,0.0024862647497638102,0.259669536746012,0.265296483586419,1.0,1.9229626863835638e-16,0.9999999999999998,1.0000000000000002,3042.3333333333335,16.502525059315417,3023.658968254137,3061.00769841253,0.30423333333333336,0.0016502525059315372,0.3023658968254137,0.306100769841253,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.3220338317486671,0.0035101657719597544,0.31806170524811844,0.3260059582492158,0.08531648645146829,0.003226056227637948,0.08166586016583093,0.08896711273710566,0.7239583333333334,0.005686240703077377,0.7175237462361599,0.7303929204305069,0.7416666666666667,0.0036855573979159904,0.7374960658572975,0.7458372674760358
baseline_return_heterogeneity,swedish_high_progressivity,swedish,swedish_transfer,3,0.3142759098634191,0.0018578538550211002,0.3121735503137287,0.3163782694131095,-2.384185791015625e-07,6.307962682401158e-07,-9.522317538351573e-07,4.753945956320323e-07,0.3889774916182149,0.0034140040932829274,0.38511418230096295,0.3928408009354668,0.3365670812791568,0.002372450256041953,0.3338824010829858,0.3392517614753278,0.14023569940512437,0.001405762120131462,0.1386449298137144,0.14182646899653434,0.49883167098939024,0.004656637670778772,0.4935621894044146,0.5041011525743659,0.26247914499039665,0.002516147808119698,0.2596318557062926,0.2653264342745007,0.9999999999999999,1.7554167342883506e-16,0.9999999999999997,1.0,2670.6666666666665,10.263202878893768,2659.0527592947074,2682.2805740386257,0.2670666666666666,0.0010263202878893793,0.2659052759294707,0.2682280574038625,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.3207415890634174,0.003591008903876718,0.31667797994707886,0.3248051981797559,0.08527827200754955,0.0032435111899460456,0.08160789357262511,0.08894865044247398,0.720875,0.007266145814666798,0.7126525819655449,0.7290974180344552,0.7525000000000001,0.00264575131106453,0.7495060505459623,0.7554939494540378
baseline_return_heterogeneity,swedish_low_progressivity,swedish,swedish_transfer,3,0.3323274569175958,0.000375087161971467,0.3319030058366855,0.33275190799850607,-7.947285970052083e-08,9.02638172435804e-07,-1.1009041077003415e-06,9.419583882992999e-07,0.40147309379760193,0.003470187395677782,0.3975462070886172,0.40539998050658665,0.3365670812791568,0.002372450256041953,0.3338824010829858,0.3392517614753278,0.18964166252342474,0.0011602602573926113,0.18832870444243086,0.19095462060441862,0.5067222143192824,0.004525929449677653,0.5016006430105173,0.5118437856280476,0.26248931713041906,0.0024510639125848517,0.2597156772073447,0.26526295705349345,0.9999999999999999,1.9229626863835638e-16,0.9999999999999997,1.0,3288.0,23.515952032609693,3261.389195176896,3314.610804823104,0.32880000000000004,0.002351595203260984,0.32613891951768964,0.33146108048231043,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.3239615740461143,0.0035042196703330766,0.3199961761929802,0.3279269718992484,0.08537796212796413,0.003190569177671357,0.08176749321971463,0.08898843103621362,0.7277916666666666,0.009014167090382422,0.7175911763462076,0.7379921569871256,0.7276666666666666,0.005575242894559217,0.7213576854141628,0.7339756479191704
high_return_heterogeneity,flat,flat,swedish_transfer,3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.45711124136715536,0.004135131385150651,0.452431899699187,0.4617905830351237,0.3365670812791568,0.002372450256041953,0.3338824010829858,0.3392517614753278,0.20316781207561915,0.0013524163012269288,0.20163740896110233,0.20469821519013598,0.6666332907704507,0.0035072351188446156,0.6626644806160973,0.6706021009248042,0.304160651674153,0.003404997900157224,0.3003075338238311,0.30801376952447496,1.0,1.5700924586837752e-16,0.9999999999999998,1.0000000000000002,3364.3333333333335,30.03886371574886,3330.341159070555,3398.325507596112,0.33643333333333336,0.0030038863715748754,0.3330341159070555,0.3398325507596112,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.36061454740719495,0.0047414794202221035,0.35524905834473525,0.36598003646965466,0.09763714202656149,0.0028300515396155112,0.09443463723085513,0.10083964682226784,0.811875,0.006298561343672075,0.8047475068689381,0.8190024931310619,0.6046666666666667,0.0024664414311581445,0.6018756254431963,0.6074577078901371
high_return_heterogeneity,swedish_baseline_progressivity,swedish,swedish_transfer,3,0.34232345500701483,0.0009508424402060346,0.3412474754949475,0.34339943451908217,1.5894571940104166e-07,4.963078497567494e-07,-4.026794830886063e-07,7.205709218906896e-07,0.4483104870640926,0.004194438305815405,0.4435640332975675,0.4530569408306177,0.3365670812791568,0.002372450256041953,0.3338824010829858,0.3392517614753278,0.16550967095048752,0.0011871614086607222,0.1641662713511184,0.16685307054985665,0.6626745073540173,0.0036661652959690066,0.6585258507737954,0.6668231639342392,0.30412475023554886,0.003531971455111494,0.3001279482816066,0.3081215521894911,1.0,1.9229626863835638e-16,0.9999999999999998,1.0000000000000002,3042.3333333333335,16.502525059315417,3023.658968254137,3061.00769841253,0.30423333333333336,0.0016502525059315372,0.3023658968254137,0.306100769841253,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.35665118579667726,0.0049974314212844415,0.3509960597790601,0.3623063118142944,0.09737797481783945,0.0028953028667783503,0.09410163119438031,0.1006543184412986,0.8120416666666667,0.006154689946157621,0.8050769793481688,0.8190063539851645,0.6105,0.0021794494717703515,0.6080337207511449,0.6129662792488552
high_return_heterogeneity,swedish_high_progressivity,swedish,swedish_transfer,3,0.3142759098634191,0.0018578538550211002,0.3121735503137287,0.3163782694131095,-2.384185791015625e-07,6.307962682401158e-07,-9.522317538351573e-07,4.753945956320323e-07,0.443668558211682,0.004180188457484876,0.43893822966654517,0.4483988867568188,0.3365670812791568,0.002372450256041953,0.3338824010829858,0.3392517614753278,0.14023569940512437,0.001405762120131462,0.1386449298137144,0.14182646899653434,0.6606181754170052,0.0037138442123957473,0.6564155650637253,0.664820785770285,0.30410256168568267,0.003586087570266692,0.3000445215825818,0.3081606017887835,0.9999999999999999,1.7554167342883506e-16,0.9999999999999997,1.0,2670.6666666666665,10.263202878893768,2659.0527592947074,2682.2805740386257,0.2670666666666666,0.0010263202878893793,0.2659052759294707,0.2682280574038625,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.35498658014972717,0.005065706045726292,0.3492541941214214,0.36071896617803295,0.09731013889802187,0.0028701442002020522,0.09406226498588646,0.10055801281015728,0.8116249999999999,0.006932712311931063,0.803779897493765,0.8194701025062349,0.6153333333333334,0.0024664414311581073,0.612542292109863,0.6181243745568038
high_return_heterogeneity,swedish_low_progressivity,swedish,swedish_transfer,3,0.3323274569175958,0.000375087161971467,0.3319030058366855,0.33275190799850607,-7.947285970052083e-08,9.02638172435804e-07,-1.1009041077003415e-06,9.419583882992999e-07,0.4536168529908786,0.004154076406563154,0.4489160730130141,0.4583176329687431,0.3365670812791568,0.002372450256041953,0.3338824010829858,0.3392517614753278,0.18964166252342474,0.0011602602573926113,0.18832870444243086,0.19095462060441862,0.6650455202686386,0.0035745314300548235,0.6610005571692356,0.6690904833680417,0.30414828058338694,0.003462511222813567,0.30023008028172243,0.30806648088505145,0.9999999999999999,1.9229626863835638e-16,0.9999999999999997,1.0,3288.0,23.515952032609693,3261.389195176896,3314.610804823104,0.32880000000000004,0.002351595203260984,0.32613891951768964,0.33146108048231043,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.3588532481937791,0.004844357125660305,0.35337134204829984,0.3643351543392584,0.09750206718821663,0.002872579108299855,0.09425143791818362,0.10075269645824965,0.8114166666666667,0.005065714000349166,0.8056842716368577,0.8171490616964756,0.6068333333333333,0.0020207259421636875,0.6045466666666667,0.60912
low_return_heterogeneity,flat,flat,swedish_transfer,3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.39034882124842346,0.0028260554939640954,0.3871508384040609,0.39354680409278603,0.3365670812791568,0.002372450256041953,0.3338824010829858,0.3392517614753278,0.20316781207561915,0.0013524163012269288,0.20163740896110233,0.20469821519013598,0.4036914374662935,0.0045513615705987335,0.39854108700348306,0.4088417879291039,0.2560690810643385,0.001426079454985116,0.2544553202441845,0.25768284188449253,1.0,1.5700924586837752e-16,0.9999999999999998,1.0000000000000002,3364.3333333333335,30.03886371574886,3330.341159070555,3398.325507596112,0.33643333333333336,0.0030038863715748754,0.3330341159070555,0.3398325507596112,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.3151658907132012,0.003424788292260336,0.3112903779259914,0.31904140350041105,0.08259945134876033,0.00432152404488801,0.07770918653033429,0.08748971616718637,0.6994583333333333,0.009425972540450843,0.6887918412774708,0.7101248253891957,0.763,0.006873863542433791,0.7552214911454701,0.7707785088545299
low_return_heterogeneity,swedish_baseline_progressivity,swedish,swedish_transfer,3,0.34232345500701483,0.0009508424402060346,0.3412474754949475,0.34339943451908217,1.5894571940104166e-07,4.963078497567494e-07,-4.026794830886063e-07,7.205709218906896e-07,0.378734310726423,0.0027150813107148894,0.3756619069922216,0.3818067144606244,0.3365670812791568,0.002372450256041953,0.3338824010829858,0.3392517614753278,0.16550967095048752,0.0011871614086607222,0.1641662713511184,0.16685307054985665,0.39291618853318777,0.004503371736533473,0.3878201436798646,0.3980122333865109,0.2560634709557075,0.0014416315215188477,0.254432111315546,0.25769483059586895,1.0,1.9229626863835638e-16,0.9999999999999998,1.0000000000000002,3042.3333333333335,16.502525059315417,3023.658968254137,3061.00769841253,0.30423333333333336,0.0016502525059315372,0.3023658968254137,0.306100769841253,0.029266666666666667,0.0010598742063723102,0.028067306096288526,0.030466027237044807,0.3118936295846322,0.003455572949404555,0.3079832806784477,0.31580397849081665,0.08247920756628306,0.004285015123649281,0.07763025648144682,0.0873281586511193,0.6909583333333335,0.010513632023869443,0.6790610387062157,0.7028556279604512,0.7873333333333333,0.006370504951205438,0.7801244283463669,0.7945422383202998
