Transfer policy,Scenario,Wealth Gini,Disposable-income Gini,Top 1% share,Shorrocks index
No transfers,Flat tax,0.4854980737933883,0.3365670812791568,0.1039889339269601,0.6885833333333333
No transfers,High progressivity,0.4739285814749377,0.2545228534129032,0.1068705370009152,0.6628333333333334
Lump-sum only,Flat tax,0.4104794829996883,0.2355969568954099,0.0853683283971296,0.7382083333333332
Lump-sum only,High progressivity,0.3923071667268348,0.168887821038659,0.0852004971110703,0.7257083333333333
Universal + safety floor,Flat tax,0.4055602513819672,0.2075562134705758,0.0854772427315572,0.7280000000000001
Universal + safety floor,High progressivity,0.388820448826594,0.1450707412793087,0.085280956107183,0.7196666666666666
