Return preset,Flat wealth Gini,High-progressivity wealth Gini,Wealth Gini difference pp,Flat top 1% share,High-progressivity top 1% share,Top 1% difference pp,Flat disposable-income Gini,High-progressivity disposable-income Gini,Disposable-income Gini difference pp
Low return heterogeneity,0.3901388507956916,0.3722070577913741,-1.793179300431752,0.0826015628653716,0.0824465011670398,-0.015506169833179317,0.2075562134705758,0.1450707412793087,-6.24854721912671
Baseline return heterogeneity,0.4055602513819672,0.388820448826594,-1.6739802555373218,0.0854772427315572,0.085280956107183,-0.01962866243741951,0.2075562134705758,0.1450707412793087,-6.24854721912671
High return heterogeneity,0.4569603643712572,0.4435507324868222,-1.3409631884435003,0.0976392263057951,0.0973120807363687,-0.03271455694263958,0.2075562134705758,0.1450707412793087,-6.24854721912671
