tax_scenario,final_gini,final_disposable_income_gini,final_top_10_share,final_top_1_share,shorrocks_index,top_20_persistence,final_capital_income_share,scenario_label,scenario_order,final_gini_diff_vs_flat_pp,final_disposable_income_gini_diff_vs_flat_pp,final_top_10_share_diff_vs_flat_pp,final_top_1_share_diff_vs_flat_pp,shorrocks_index_diff_vs_flat_pp,top_20_persistence_diff_vs_flat_pp,final_capital_income_share_diff_vs_flat_pp
flat,0.4044632638912209,0.2099945862127914,0.3236178096966398,0.0803914778077588,0.73325,0.7195,0.2647932845525195,Flat tax,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swedish_low_progressivity,0.3998956297182272,0.1961510159996462,0.3217181020264342,0.0803586515936111,0.7306250000000001,0.7255,0.2647567790354396,Low progressivity,1,-0.45676341729937175,-1.3843570213145195,-0.1899707670205586,-0.003282621414769926,-0.26249999999998774,0.6000000000000005,-0.003650551707989891
swedish_baseline_progressivity,0.3931261522701839,0.1721769269183877,0.3197590083158422,0.0803403633607354,0.72375,0.741,0.2647381045115243,Baseline progressivity,2,-1.133711162103701,-3.78176592944037,-0.3858801380797583,-0.00511144470233954,-0.9499999999999953,2.1499999999999964,-0.0055180040995195245
swedish_high_progressivity,0.3872632503235673,0.1475033462998634,0.3184751107792234,0.0803232412705293,0.7204999999999999,0.754,0.2647473595138745,High progressivity,3,-1.7200013567653605,-6.249123991292802,-0.5142698917416366,-0.00682365372294963,-1.275000000000004,3.4499999999999975,-0.004592503864497832
