Measure,Flat,High progressivity,Change pp
Disposable-income Gini,0.2075562134705758,0.1450707412793087,-6.24854721912671
Wealth Gini,0.4055602513819672,0.388820448826594,-1.6739802555373218
Top 1% share,0.0854772427315572,0.085280956107183,-0.01962866243741951
